1,2,3,4
66199,64907,64906,66130
64586,64144,64144,69268
63029,64275,64274,70564
62360,64849,64849,70084
65919,65583,65582,65058
61529,65241,65241,70131
65942,64952,64951,66297
61266,65069,65069,70738
65634,64318,64318,67872
66599,64382,64382,66779
66591,64246,64246,67059
65683,65456,65456,65547
64242,63426,63426,71048
66887,64184,64183,66888
67126,63375,63374,68267
65676,65029,65028,66409
66319,65640,65639,64544
65312,64724,64724,67382
68127,65180,65179,63656
62183,64632,64632,70695
65831,65191,65191,65929
66696,63815,63815,67816
70722,62427,62427,66566
66884,64361,64360,66537
66651,64410,64409,66672
60697,64887,64887,71671
67348,63159,63159,68476
66100,64921,64921,66200
66100,64855,64855,66332
65543,65175,65174,66250
66103,65355,65355,65329
67867,64612,64612,65051
65811,65225,65224,65882
66165,65150,65149,65678
64312,65547,65547,66736
64249,65207,65207,67479
65965,65393,65393,65391
65646,65347,65346,65803
65915,65380,65379,65468
65717,65386,65386,65653
65973,65297,65297,65575
66832,64672,64671,65967
66016,65452,65452,65222
65667,65143,65143,66189
66219,64878,64878,66167
65536,65279,65278,66049
65722,65418,65417,65585
65476,65388,65387,65891
65769,65247,65247,65879
64907,65746,65745,65744
66543,64942,64942,65715
66277,64788,64788,66289
66049,64713,64712,66668
66346,64860,64860,66076
66119,65172,65172,65679
66717,64750,64749,65926
66886,64333,64332,66591
67856,63490,63490,67306
65409,65546,65546,65641
67376,62933,62932,68901
65515,64760,64759,67108
65400,65321,65320,66101
67538,63283,63282,68039
66961,64187,64186,66808
65583,65363,65363,65833
65465,65515,65514,65648
65169,65310,65310,66353
65749,65253,65252,65888
65947,65116,65116,65963
65668,65401,65401,65672
66659,64590,64589,66304
67243,64482,64481,65936
66267,64789,64788,66298
66009,64950,64949,66234
65589,65450,65450,65653
65424,65532,65532,65654
66134,64655,64654,66699
66126,65076,65076,65864
66055,65282,65282,65523
66069,65479,65479,65115
65489,65815,65815,65023
65116,65845,65845,65336
66252,64791,64791,66308
65414,65562,65561,65605
65670,65383,65382,65707
65907,65197,65197,65841
65781,65317,65316,65728
65783,65299,65299,65761
65621,65371,65371,65779
65668,65300,65299,65875
65805,65541,65541,65255
65573,65454,65453,65662
65760,65408,65407,65567
65514,65342,65341,65945
65575,65353,65353,65861
65666,65506,65506,65464
65253,65490,65490,65909
65261,65734,65734,65413
65833,65429,65428,65452
65439,65514,65513,65676
65578,65324,65324,65916
65319,65633,65632,65558
65287,65584,65583,65688
65544,65346,65345,65907
65846,65538,65537,65221
65759,65221,65220,65942
65681,65558,65557,65346
65611,65464,65464,65603
65896,65081,65081,66084
65338,65390,65389,66025
65914,65386,65385,65457
66609,64728,64727,66078
65376,65593,65592,65581
65404,65623,65623,65492
65399,65671,65671,65401
66154,64946,64945,66097
65698,65507,65506,65431
65174,65757,65757,65454
65572,65656,65655,65259
65492,65414,65414,65822
66462,65186,65186,65308
65944,65532,65532,65134
65407,65624,65624,65487
65785,65409,65408,65540
66012,65382,65381,65367
66889,64009,64008,67236
65859,64739,64738,66806
66960,65045,65045,65092
65624,64200,64200,68118
65544,65032,65031,66535
66943,64380,64380,66439
65631,65331,65331,65849
65572,65470,65469,65631
65124,65701,65700,65617
65516,65419,65418,65789
65951,65286,65286,65619
66572,64985,64985,65600
65784,65651,65650,65057
65619,65615,65614,65294
65786,65319,65319,65718
65732,65308,65308,65794
65882,65507,65506,65247
66127,65436,65435,65144
65995,65122,65122,65903
66633,64644,64643,66222
66101,65246,65246,65549
65340,65606,65605,65591
65534,65462,65461,65685
65490,65456,65455,65741
65774,65331,65331,65706
66263,65196,65196,65487
66231,65008,65007,65896
65974,64886,64886,66396
66314,64962,64961,65905
65970,65010,65010,66152
65447,65530,65529,65636
65970,64995,64994,66183
65522,65468,65468,65684
66029,65045,65044,66024
66165,65295,65295,65387
65474,65206,65206,66256
65485,65309,65308,66040
69162,64625,64625,63730
65920,65257,65256,65709
65871,65424,65424,65423
66428,64433,64433,66848
65931,65419,65418,65374
65418,65667,65666,65391
65763,65219,65218,65942
65557,65522,65522,65541
65433,65511,65511,65687
66191,64643,64643,66665
66850,64445,64444,66403
67017,64443,64443,66239
66272,64908,64908,66054
65406,65372,65372,65992
67846,63858,63858,66580
65663,65722,65722,65035
67130,63904,63903,67205
66059,64801,64800,66482
65523,65561,65561,65497
65291,65459,65459,65933
66026,65054,65054,66008
66135,64816,64815,66376
65625,65338,65338,65841
65627,65457,65456,65602
65693,65490,65490,65469
65217,65609,65609,65707
66421,64614,64614,66493
66586,64701,64701,66154
65314,65049,65048,66731
65868,65192,65192,65890
65959,65319,65319,65545
66225,65036,65035,65846
65083,65632,65631,65796
65785,65013,65013,66331
66317,65013,65013,65799
64999,65804,65804,65535
63162,63899,63899,71182
65239,65728,65728,65447
67096,63841,63841,67364
65401,65328,65328,66085
66004,64977,64977,66184
65610,65554,65554,65424
65624,65388,65387,65743
67348,63931,63931,66932
65457,65384,65384,65917
65944,65347,65346,65505
65654,65600,65599,65289
66787,64371,64371,66613
66243,64638,64637,66624
66481,65250,65249,65162
65492,65379,65379,65892
65383,65626,65626,65507
65783,65432,65431,65496
65715,64688,64688,67051
65663,65581,65580,65318
66186,65240,65240,65476
65484,65769,65768,65121
65476,65547,65546,65573
66664,64548,64548,66382
65781,64835,64835,66691
65428,65516,65516,65682
65961,65149,65149,65883
65633,65623,65622,65264
65926,64978,64978,66260
66677,64335,64334,66796
66344,64720,64720,66358
72173,61196,61195,67578
65950,65455,65454,65283
67162,60851,60851,73278
68156,63381,63381,67224
66577,64468,64467,66630
66263,64564,64564,66751
66118,65390,65389,65245
65915,65327,65327,65573
65390,64728,64728,67296
65362,65676,65676,65428
65526,65088,65088,66440
65789,65663,65663,65027
65706,64883,64882,66671
65901,65472,65471,65298
65320,65584,65583,65655
65284,65306,65305,66247
66062,64796,64795,66489
65499,65513,65512,65618
65323,65864,65863,65092
65757,65369,65369,65647
65824,65110,65109,66099
64709,65656,65655,66122
66156,65064,65063,65859
66404,64825,64824,66089
72488,63481,63480,62693
65414,65729,65729,65270
66012,64064,64064,68002
65453,65749,65749,65191
66331,64999,64999,65813
65930,65498,65498,65216
65226,65602,65601,65713
80093,61870,61869,58310
65264,65767,65766,65345
65255,65821,65820,65246
65396,65788,65788,65170
65744,65380,65380,65638
83296,61717,61716,55413
65268,65627,65627,65620
65284,65498,65497,65863
65827,64635,64635,67045
56859,62869,62869,79545
62900,64476,64476,70290
65517,65640,65640,65345
65434,65611,65611,65486
65449,65603,65602,65488
65589,65425,65424,65704
67308,64439,64438,65957
65805,65512,65512,65313
65104,65346,65346,66346
65764,65308,65307,65763
64984,65889,65888,65381
66155,64933,64933,66121
65607,65200,65199,66136
66181,65324,65323,65314
65601,65725,65725,65091
65594,65670,65670,65208
65716,65358,65357,65711
66558,65032,65032,65520
65924,65503,65503,65212
65627,65480,65479,65556
65368,65718,65717,65339
65520,65441,65440,65741
65714,64987,64987,66454
65975,65304,65304,65559
65638,65513,65512,65479
65879,65524,65524,65215
65737,65208,65207,65990
65498,65782,65781,65081
65931,65272,65271,65668
72035,63869,63868,62370
65433,65231,65230,66248
65628,65343,65343,65828
66300,65352,65352,65138
65211,65543,65543,65845
66264,65384,65383,65111
72530,63897,63897,61818
65660,65371,65371,65740
65214,65654,65653,65621
65357,65787,65787,65211
65209,65717,65716,65500
65373,65810,65810,65149
66466,64634,64634,66408
66567,65343,65343,64889
65169,65711,65710,65552
65864,65448,65448,65382
65462,65603,65602,65475
65472,65570,65570,65530
65992,65003,65002,66145
65478,65563,65562,65539
65727,65461,65461,65493
68946,64552,64551,64093
65656,65430,65429,65627
65282,65792,65791,65277
65042,65685,65684,65731
65540,65535,65535,65532
63084,64182,64182,70694
66073,65158,65157,65754
65782,65417,65416,65527
65433,65506,65505,65698
65550,65476,65476,65640
66099,65374,65374,65295
65525,65603,65603,65411
65254,65597,65597,65694
65779,65068,65067,66228
65028,65617,65617,65880
65483,65548,65547,65564
65012,65875,65874,65381
65673,65526,65525,65418
65602,65645,65644,65251
66389,64286,64285,67182
65251,65704,65704,65483
64726,65211,65211,66994
65230,65635,65634,65643
65333,65593,65592,65624
65717,65316,65316,65793
67063,64735,64735,65609
65804,65361,65361,65616
65454,65416,65416,65856
65501,65646,65646,65349
65388,65728,65727,65299
65187,65754,65753,65448
65810,65567,65566,65199
65494,65687,65686,65275
65168,65549,65548,65877
