1,2,3,4
66238,65096,65095,65713
65432,64615,64615,67480
64339,64620,64620,68563
63650,64960,64960,68572
65926,65506,65505,65205
63115,65200,65200,68627
66076,64878,64877,66311
63025,65201,65201,68715
65991,64366,64366,67419
66555,64485,64485,66617
66740,64262,64262,66878
65739,65570,65570,65263
65183,63772,63772,69415
66865,64380,64379,66518
66730,63828,63827,67757
65899,64969,64968,66306
66657,65507,65506,64472
66167,64821,64821,66333
68614,65107,65106,63315
63651,64808,64808,68875
66031,65021,65021,66069
66843,64085,64085,67129
70188,62826,62826,66302
66723,64610,64609,66200
66510,64512,64511,66609
62082,65102,65102,69856
67388,63479,63479,67796
66330,64713,64713,66386
65918,65105,65105,66014
66164,64958,64957,66063
66430,65163,65163,65386
67549,64835,64835,64923
66012,65239,65238,65653
66313,65114,65113,65602
64882,65675,65675,65910
65210,65265,65265,66402
66224,65333,65333,65252
65772,65379,65378,65613
66148,65232,65231,65531
65870,65241,65241,65790
66230,65101,65101,65710
66771,64777,64776,65818
66182,65327,65327,65306
65948,65194,65194,65806
66462,64872,64872,65936
65627,65444,65443,65628
65759,65442,65441,65500
65513,65486,65485,65658
65817,65266,65266,65793
65500,65459,65458,65725
66909,64727,64727,65779
65976,64879,64879,66408
66088,64625,64624,66805
66337,64953,64953,65899
66190,65234,65234,65484
66901,64685,64684,65872
66986,64428,64427,66301
67481,63955,63955,66751
65465,65484,65484,65709
67438,63140,63139,68425
65713,64656,64655,67118
65454,65329,65328,66031
67183,63738,63737,67484
66922,64473,64472,66275
65435,65576,65576,65555
65920,65247,65246,65729
65667,65041,65041,66393
66108,65064,65063,65907
66270,64966,64966,65940
65744,65427,65427,65544
66566,64639,64638,66299
66905,64848,64847,65542
66285,64939,64938,65980
66105,64960,64959,66118
65995,65219,65219,65709
65649,65467,65467,65559
66298,64538,64537,66769
66256,65005,65005,65876
66137,65256,65256,65493
66225,65332,65332,65253
65702,65597,65597,65246
65591,65478,65478,65595
66110,64910,64910,66212
65627,65355,65354,65806
65913,65365,65364,65500
65952,65270,65270,65650
65965,65268,65267,65642
66089,65325,65325,65403
65657,65421,65421,65643
65679,65436,65435,65592
66081,65223,65223,65615
65809,65298,65297,65738
65892,65359,65358,65533
65408,65678,65677,65379
65640,65333,65333,65836
65699,65444,65444,65555
65511,65438,65438,65755
65355,65740,65740,65307
65657,65662,65661,65162
65965,65304,65303,65570
65522,65541,65541,65538
65518,65424,65423,65777
65351,65566,65565,65660
65813,65191,65190,65948
66010,65445,65444,65243
65905,65161,65160,65916
65763,65407,65406,65566
65999,65265,65265,65613
65896,65139,65139,65968
65772,65317,65316,65737
66031,65177,65176,65758
66678,64614,64613,66237
65660,65563,65562,65357
65782,65371,65371,65618
65585,65612,65612,65333
66358,64696,64695,66393
65904,65362,65361,65515
65236,65697,65697,65512
65691,65542,65541,65368
65604,65510,65510,65518
65432,65173,65173,66364
66082,65631,65631,64798
65645,65552,65552,65393
65752,65440,65439,65511
66412,65076,65075,65579
66661,64400,64399,66682
65749,65091,65090,66212
67144,64962,64962,65074
65747,64380,64380,67635
65661,65078,65077,66326
66908,64615,64615,66004
65633,65407,65407,65695
65837,65302,65301,65702
65290,65670,65669,65513
65794,65313,65312,65723
66225,65209,65209,65499
66509,65158,65158,65317
66072,65551,65550,64969
65740,65574,65573,65255
65815,65358,65358,65611
66020,65171,65171,65780
66176,65243,65242,65481
66227,65401,65400,65114
66091,65061,65061,65929
66603,64855,64854,65830
66322,65234,65234,65352
65641,65542,65541,65418
66004,65245,65244,65649
65727,65385,65384,65646
65971,65305,65305,65561
66216,65260,65260,65406
66202,65123,65122,65695
65971,65005,65005,66161
66464,64901,64900,65877
66207,64915,64915,66105
65697,65390,65389,65666
65918,65160,65159,65905
65751,65399,65399,65593
66285,65030,65029,65798
66381,65225,65225,65311
65914,65184,65184,65860
65432,65294,65293,66123
68971,64719,64719,63733
66198,65034,65033,65877
65998,65430,65430,65284
66574,64511,64511,66546
66025,65214,65213,65690
65715,65576,65575,65276
65746,65226,65225,65945
65788,65288,65288,65778
65584,65576,65576,65406
66067,65009,65009,66057
66684,64708,64707,66043
67149,64347,64347,66299
66219,64993,64993,65937
65656,65417,65417,65652
67717,64018,64018,66389
66008,65476,65476,65182
66846,64271,64270,66755
66575,64495,64494,66578
65796,65490,65490,65366
65458,65509,65509,65666
66096,64993,64993,66060
66390,64713,64712,66327
65528,65527,65527,65560
65930,65390,65389,65433
65854,65367,65367,65554
65168,65704,65704,65566
66629,64829,64829,65855
66439,64881,64881,65941
65519,65127,65126,66370
66263,64933,64933,66013
66132,65250,65250,65510
66428,64921,64920,65873
65236,65671,65670,65565
65851,64979,64979,66333
66482,65109,65109,65442
65616,65400,65400,65726
63541,64127,64127,70347
65398,65641,65641,65462
66976,64112,64112,66942
65648,65317,65317,65860
66080,64971,64971,66120
65557,65621,65621,65343
65853,65311,65310,65668
67209,64265,64265,66403
65479,65478,65478,65707
66301,65034,65033,65774
66050,65312,65311,65469
66559,64514,64514,66555
66366,64640,64639,66497
66270,65374,65373,65125
65872,65254,65254,65762
65693,65479,65479,65491
65841,65377,65376,65548
65933,64625,64625,66959
65621,65678,65677,65166
66319,65189,65189,65445
65803,65580,65579,65180
65775,65411,65410,65546
66379,64933,64933,65897
65785,64921,64921,66515
65682,65422,65422,65616
66115,65106,65106,65815
65889,65399,65398,65456
66291,64812,64812,66227
66494,64652,64651,66345
66169,64783,64783,66407
71345,61770,61769,67258
66142,65218,65217,65565
66587,61817,61817,71921
68115,63470,63470,67087
66773,64419,64418,66532
66270,64806,64806,66260
66237,65334,65333,65238
66118,65349,65349,65326
65509,64833,64833,66967
65611,65545,65545,65441
65940,64731,64731,66740
65852,65573,65573,65144
65975,64820,64819,66528
65992,65577,65576,64997
65386,65612,65611,65533
65611,65240,65239,66052
66186,64939,64938,66079
65878,65250,65249,65765
65672,65451,65450,65569
65984,65176,65176,65806
65754,65274,65273,65841
65477,65248,65247,66170
66145,65126,65125,65746
66508,64970,64969,65695
71733,63928,63927,62554
65848,65485,65485,65324
66418,64260,64260,67204
65625,65623,65623,65271
66571,64840,64840,65891
66162,65398,65398,65184
65341,65543,65542,65716
78861,62422,62421,58438
65603,65563,65562,65414
65709,65588,65587,65258
65807,65521,65521,65293
66105,65119,65119,65799
81938,62076,62075,56053
65728,65493,65493,65428
65341,65585,65584,65632
65971,64593,64593,66985
57623,63391,63391,77737
63148,64658,64658,69678
65602,65719,65719,65102
65389,65779,65779,65195
65500,65591,65590,65461
65714,65311,65310,65807
67033,64613,64612,65884
66082,65251,65251,65558
65558,65195,65195,66194
65940,65341,65340,65521
65356,65645,65644,65497
66458,64986,64986,65712
65910,65153,65152,65927
66193,65443,65442,65064
65960,65351,65351,65480
65857,65600,65600,65085
65697,65485,65484,65476
66693,64934,64934,65581
66014,65391,65391,65346
65744,65536,65535,65327
65675,65438,65437,65592
65938,65245,65244,65715
65746,65214,65214,65968
66148,65235,65235,65524
65634,65571,65570,65367
66289,65214,65214,65425
66002,65143,65142,65855
65535,65766,65765,65076
66205,65078,65077,65782
71409,64048,64047,62638
65592,65285,65284,65981
65901,65127,65127,65987
66535,65120,65120,65367
65400,65436,65436,65870
66663,65175,65174,65130
72036,64085,64085,61936
65947,65246,65246,65703
65363,65673,65672,65434
65930,65352,65352,65508
65478,65525,65524,65615
65515,65722,65722,65183
66417,64784,64784,66157
66722,65301,65301,64818
65589,65490,65489,65574
65884,65514,65514,65230
65460,65558,65557,65567
65576,65513,65513,65540
66046,64945,64944,66207
65454,65438,65437,65813
66026,65442,65442,65232
68847,64587,64586,64122
65568,65398,65397,65779
65516,65551,65550,65525
65360,65523,65522,65737
65910,65390,65390,65452
63468,64317,64317,70040
66341,65049,65048,65704
65984,65436,65435,65287
65572,65591,65590,65389
65884,65162,65162,65934
66126,65422,65422,65172
65740,65491,65491,65420
65493,65596,65596,65457
66144,64926,64925,66147
65179,65637,65637,65689
65678,65524,65523,65417
65774,65416,65415,65537
65939,65337,65336,65530
65494,65666,65665,65317
66251,64734,64733,66424
65734,65495,65495,65418
64640,65332,65332,66838
65425,65625,65624,65468
65553,65466,65465,65658
66015,65207,65207,65713
67015,64852,64852,65423
66021,65294,65294,65533
65709,65299,65299,65835
65768,65415,65415,65544
65770,65412,65411,65549
65564,65589,65588,65401
65690,65621,65620,65211
65507,65608,65607,65420
65496,65396,65395,65855
65799,65524,65523,65296
65219,65559,65558,65806
65955,65551,65550,65086
66301,65262,65262,65317
65580,65718,65718,65126
65493,65426,65426,65797
62631,65143,65143,69225
58730,64769,64769,73874
75621,63226,63225,60070
87899,60854,60854,52535
65375,65630,65629,65508
65236,65682,65681,65543
65908,65611,65610,65013
65752,65465,65465,65460
65379,65424,65423,65916
65383,65636,65635,65488
66134,65491,65491,65026
65623,65741,65740,65038
65525,65617,65617,65383
66525,65324,65324,64969
66215,65212,65211,65504
65574,65198,65198,66172
64728,65224,65223,66967
65778,65323,65322,65719
65652,65515,65515,65460
65280,64036,64035,68791
65863,65496,65495,65288
66668,63935,63935,67604
65687,65519,65519,65417
66501,64328,64328,66985
66229,65107,65106,65700
65546,65890,65889,64817
66177,65137,65137,65691
65734,65448,65448,65512
65721,65522,65522,65377
65775,65555,65554,65258
65751,65799,65798,64794
67053,64087,64086,66916
65259,65645,65645,65593
66349,64722,64722,66349
65941,65370,65369,65462
66546,64602,64602,66392
66202,64869,64869,66202
66414,64671,64671,66386
65998,65368,65367,65409
66081,64866,64866,66329
64253,64836,64836,68217
68134,64637,64636,64735
65062,65239,65238,66603
65750,64988,64988,66416
65749,65565,65564,65264
66771,64488,64487,66396
66090,65240,65240,65572
65876,65514,65514,65238
64541,65305,65305,66991
65510,65548,65547,65537
65628,65646,65645,65223
71881,63790,63789,62682
65544,65402,65401,65795
65787,65465,65465,65425
65880,65539,65538,65185
65883,65310,65309,65640
66387,64993,64993,65769
65459,65534,65533,65616
66122,65318,65317,65385
61829,63840,63839,72634
67464,63782,63782,67114
65385,65537,65537,65683
65045,65781,65780,65536
65598,65599,65598,65347
66037,65457,65457,65191
65818,65216,65215,65893
65299,64377,64376,68090
65659,65480,65479,65524
66311,65292,65292,65247
65717,65549,65548,65328
65472,65647,65647,65376
65505,65652,65651,65334
68130,64999,64998,64015
65616,65538,65537,65451
65561,65529,65529,65523
66212,65088,65088,65754
65126,65821,65821,65374
68740,64985,64985,63432
68550,64420,64419,64753
65928,65510,65510,65194
66001,64981,64980,66180
65537,65603,65603,65399
66542,64763,64763,66074
66392,64932,64931,65887
65450,65699,65699,65294
66291,64800,64800,66251
67868,64863,64862,64549
66031,65212,65212,65687
65441,65806,65806,65089
65695,65580,65580,65287
66574,64743,64742,66083
66159,64867,64866,66250
65972,65573,65572,65025
72932,63827,63826,61557
65721,65514,65513,65394
66762,64604,64603,66173
65416,65539,65538,65649
68638,64522,64521,64461
66053,64894,64893,66302
65998,65202,65201,65741
65704,65577,65577,65284
65305,65643,65643,65551
65312,65717,65717,65396
66363,65409,65408,64962
65798,65220,65219,65905
65490,65695,65695,65262
65398,65500,65500,65744
65973,64990,64989,66190
65878,65374,65373,65517
65132,65728,65728,65554
66696,65132,65131,65183
65114,65631,65631,65766
66011,64760,64760,66611
65809,65440,65440,65453
65504,65295,65295,66048
58964,63051,63051,77076
65331,65558,65558,65695
67568,64248,64247,66079
65530,65491,65490,65631
66063,65145,65145,65789
65611,65532,65531,65468
73962,63656,63655,60869
65853,65287,65286,65716
65758,65474,65474,65436
68832,64825,64824,63661
65107,65662,65662,65711
65378,65479,65479,65806
66342,64630,64629,66541
66623,64732,64732,66055
66210,65189,65188,65555
65717,65297,65296,65832
65677,65387,65386,65692
65839,65496,65495,65312
65929,65134,65134,65945
67585,65174,65174,64209
65742,65635,65635,65130
65599,65213,65212,66118
66147,65016,65016,65963
65840,65367,65367,65568
66759,64540,64539,66304
65368,65542,65542,65690
65682,65477,65476,65507
69273,61978,61978,68913
65238,65625,65625,65654
65913,65427,65427,65375
70403,61271,61271,69197
67765,62933,62934,68510
69283,61928,61927,69004
65279,65493,65492,65878
65488,65562,65562,65530
65516,65554,65554,65518
66565,64970,64969,65638
70052,60857,60857,70376
77588,59847,59848,64859
66958,64205,64205,66774
67060,64479,64478,66125
65295,65596,65596,65655
68202,63086,63086,67768
67901,59379,59380,75482
68798,62177,62176,68991
65490,65394,65394,65864
66012,65019,65019,66092
68086,63093,63094,67869
66051,65214,65214,65663
