1,2,3,4
66075,64702,64702,66663
62971,62752,62753,73666
60348,62657,62657,76480
58824,63650,63651,76017
65963,65557,65557,65065
58413,63882,63883,75964
66494,64405,64405,66838
57709,63239,63240,77954
65613,63352,63353,69824
67200,63591,63592,67759
67534,63347,63348,67913
65297,65409,65410,66026
62876,61693,61694,75879
67768,63255,63255,67864
67823,62356,62356,69607
66170,64570,64570,66832
66253,65524,65524,64841
64187,63355,63356,71244
68138,64517,64517,64970
59449,62756,62757,77180
65833,64849,64850,66610
67086,62932,62933,69191
72849,60624,60625,68044
67498,63802,63802,67040
67369,63392,63392,67989
57421,63450,63451,77820
68422,61939,61940,69841
66664,64484,64485,66509
66375,64664,64665,66438
65985,64719,64719,66719
66248,64989,64990,65915
68494,64275,64276,65097
65985,64946,64946,66265
66420,64886,64886,65950
62750,64955,64956,69481
62694,64551,64552,70345
65955,65120,65121,65946
65773,65184,65184,66001
65870,65139,65139,65994
65924,65233,65234,65751
66151,65237,65238,65516
67521,64073,64073,66475
65982,65180,65181,65799
66007,64708,64709,66718
66568,64438,64439,66697
65608,65191,65191,66152
65572,65435,65435,65700
65338,65323,65323,66158
66236,64800,64801,66305
64990,65499,65499,66154
66863,64393,64394,66492
66246,64589,64590,66717
67153,64135,64135,66719
66970,64367,64368,66437
66196,64786,64787,66373
67164,64210,64210,66558
67458,63443,63443,67798
68412,62430,62431,68869
65334,65444,65445,65919
68916,61359,61359,70508
66105,64278,64278,67481
65714,65092,65092,66244
68276,62520,62520,68826
67522,63504,63504,67612
65459,65310,65311,66062
65752,65277,65277,65836
65568,64657,64658,67259
66150,64935,64935,66122
66374,64777,64778,66213
65734,65324,65325,65759
67111,63963,63963,67105
68727,63408,63408,66599
65983,64570,64570,67019
66230,64577,64577,66758
65501,65220,65221,66200
65207,65607,65608,65720
66664,64159,64159,67160
66529,64542,64543,66528
66442,64839,64840,66021
66344,65298,65299,65201
65487,65742,65743,65170
65434,65456,65457,65795
66500,64355,64356,66931
65185,65630,65630,65697
65738,65265,65265,65874
65813,65104,65105,66120
66031,65217,65217,65677
65731,65086,65087,66238
65766,65100,65101,66175
65743,65134,65134,66131
65720,65303,65304,65815
65842,65330,65330,65640
65508,65433,65433,65768
65445,65334,65334,66029
65508,65254,65255,66125
65466,65503,65504,65669
64978,65785,65786,65593
65229,65799,65800,65314
65425,65482,65482,65753
65687,65322,65322,65811
65533,65340,65341,65928
65358,65531,65531,65722
65449,65375,65375,65943
65527,65186,65186,66243
65820,65373,65373,65576
65945,64994,64994,66209
65627,65227,65227,66061
66072,64941,64942,66187
65737,65076,65077,66252
65597,65071,65071,66403
66191,64922,64922,66107
66942,64164,64164,66872
65649,65305,65305,65883
65540,65325,65326,65951
65632,65395,65396,65719
66842,64396,64396,66508
65893,65361,65361,65527
65269,65495,65496,65882
65324,65629,65629,65560
65401,65473,65474,65794
69532,64540,64541,63529
65681,65497,65498,65466
65536,65397,65398,65811
65974,65259,65259,65650
66238,65135,65135,65634
67606,63154,63154,68228
65898,64595,64595,67054
67797,64255,64256,65834
66122,63388,63389,69243
65486,64869,64869,66918
67354,63859,63860,67069
65739,65240,65241,65922
65520,65298,65298,66026
65244,65455,65455,65988
65478,65313,65313,66038
65886,65209,65210,65837
66578,64910,64911,65743
65731,65607,65607,65197
65708,65513,65513,65408
65612,65251,65252,66027
65732,65153,65154,66103
65739,65346,65346,65711
66232,65127,65127,65656
66404,64627,64628,66483
66922,64147,64147,66926
66210,64901,64902,66129
65528,65381,65381,65852
65610,65379,65379,65774
65430,65268,65268,66176
65636,65063,65064,66379
66168,65068,65069,65837
66483,64648,64648,66363
66356,64407,64408,66971
66683,64510,64510,66439
66147,64624,64625,66746
65768,65357,65357,65660
66161,64611,64611,66759
65327,65531,65532,65752
66371,64545,64545,66681
66249,65038,65039,65816
65738,64962,64963,66479
65465,65041,65041,66595
69876,64060,64061,64145
66177,64934,64934,66097
66173,65134,65135,65700
67026,63588,63589,67939
65776,65301,65301,65764
65449,65619,65619,65455
65580,64977,64977,66608
65944,64923,64924,66351
65271,65469,65470,65932
66626,64266,64267,66983
67303,63682,63682,67475
67777,63766,63767,66832
66616,64475,64476,66575
65119,65423,65424,66176
68956,62672,62673,67841
65881,65339,65340,65582
67945,63058,63058,68081
66704,63913,63913,67612
65587,65211,65212,66132
65198,65616,65617,65711
66066,64706,64707,66663
65847,64525,64525,67245
65286,65490,65491,65875
65548,65425,65425,65744
65743,65405,65406,65588
65333,65378,65379,66052
66714,63917,63918,67593
67089,64057,64058,66938
65292,64708,64708,67434
66062,64907,64908,66265
66113,65166,65167,65696
66424,64567,64567,66584
64743,65861,65861,65677
65837,64902,64903,66500
66478,64856,64857,65951
65101,65628,65629,65784
62975,62966,62967,73234
65190,65548,65549,65855
67823,62939,62940,68440
65531,65113,65114,66384
65968,64515,64516,67143
65487,65568,65569,65518
66011,64974,64974,66183
68062,63088,63089,67903
65686,65275,65276,65905
66148,64985,64985,66024
65499,65563,65563,65517
67345,63477,63478,67842
66650,63929,63929,67634
66551,64988,64988,65615
65653,65111,65112,66266
65903,65127,65128,65984
65604,65373,65373,65792
66043,64111,64112,67876
65526,65743,65743,65130
66251,65095,65096,65700
65514,65621,65621,65386
65560,65304,65304,65974
67166,63886,63887,67203
65888,64309,64310,67635
65609,65394,65395,65744
66245,64843,64844,66210
65801,65436,65436,65469
66477,64562,64563,66540
66721,64172,64172,67077
66808,64032,64033,67269
74428,59004,59004,69706
66140,65191,65191,65620
68685,58396,58397,76664
69428,61902,61903,68909
67386,63668,63668,67420
66736,63920,63921,67565
66102,65263,65263,65514
65782,65235,65236,65889
65565,64273,64274,68030
65387,65537,65538,65680
65488,64555,64556,67543
65702,65508,65509,65423
65678,64606,64606,67252
65744,65297,65297,65804
65342,65601,65601,65598
65628,64970,64970,66574
65985,64505,64505,67147
65928,65156,65156,65902
65720,65485,65485,65452
66024,64942,64943,66233
66144,64822,64822,66354
64954,65249,65249,66690
65992,65127,65127,65896
66990,64015,64015,67122
73949,62633,62633,62927
65206,65795,65796,65345
66009,62898,62899,70336
65243,65924,65925,65050
66636,64496,64497,66513
65674,65547,65548,65373
65146,65679,65679,65638
83694,60351,60351,57746
65233,65689,65689,65531
65498,65619,65619,65406
65136,65542,65543,65921
66232,64788,64789,66333
87698,59864,59864,54716
64884,65483,65484,66291
65307,65320,65320,66195
66102,64087,64088,67865
56090,61214,61215,83623
62695,63805,63806,71836
65415,65623,65624,65480
65463,65599,65600,65480
65392,65780,65780,65190
65289,65445,65445,65963
68010,63678,63678,66776
65750,65263,65264,65865
65856,64542,64543,67201
65683,65219,65219,66021
64823,65794,65794,65731
66634,64134,64135,67239
65916,64818,64818,66590
66247,65342,65342,65211
65669,65441,65442,65590
65547,65586,65587,65422
65693,65390,65390,65669
66681,64591,64592,66278
65936,65407,65408,65391
65423,65373,65373,65973
65044,65699,65699,65700
65204,65455,65455,66028
65813,64856,64857,66616
65716,65202,65203,66021
65856,65448,65448,65390
66034,65300,65301,65507
65662,65026,65026,66428
65627,65696,65696,65123
65758,65130,65130,66124
74299,62729,62729,62385
65878,64817,64817,66630
66108,64870,64871,66293
66428,65206,65207,65301
65051,65492,65493,66106
66630,65019,65019,65474
74141,63204,63205,61592
65862,64864,64865,66551
64969,65640,65640,65893
65306,65528,65529,65779
65555,65318,65318,65951
65747,65508,65509,65378
66773,64137,64138,67094
66726,65045,65046,65325
65474,65535,65535,65598
65355,65461,65462,65864
65760,65376,65376,65630
65637,65420,65421,65664
66070,64678,64678,66716
65351,65546,65546,65699
65562,65412,65413,65755
70245,63861,63861,64175
65725,65324,65324,65769
65344,65505,65505,65788
65055,65501,65501,66085
65478,65518,65519,65627
62573,63478,63479,72612
66120,65020,65020,65982
66115,65174,65174,65679
65383,65587,65587,65585
65743,65129,65130,66140
65933,65292,65293,65624
65599,65427,65428,65688
65229,65481,65482,65950
66519,64283,64283,67057
65248,65481,65482,65931
64931,65697,65697,65817
65375,65552,65552,65663
65946,65207,65207,65782
65081,65800,65800,65461
66981,63799,63799,67563
64951,65557,65558,66076
64607,64827,64828,67880
65036,65619,65619,65868
65377,65563,65563,65639
65449,65451,65452,65790
67276,64338,64339,66189
65796,65189,65190,65967
65448,65147,65148,66399
65422,65474,65475,65771
65042,65767,65767,65566
65366,65600,65600,65576
65838,65453,65453,65398
65581,65560,65560,65441
65283,65474,65474,65911
65455,65465,65465,65757
64961,65659,65659,65863
65640,65718,65718,65066
65882,65351,65352,65557
65785,65569,65570,65218
65636,65548,65549,65409
57326,63295,63296,78225
47497,60382,60383,93880
78949,61800,61800,59593
96084,57379,57380,51299
65181,65510,65510,65941
65051,65693,65693,65705
65682,65620,65620,65220
65263,65758,65759,65362
65055,65577,65577,65933
65319,65620,65620,65583
65971,65410,65411,65350
65419,65731,65731,65261
65067,65868,65869,65338
65855,65513,65514,65260
66342,64848,64848,66104
65351,65060,65061,66670
62143,64368,64368,71263
65787,65320,65320,65715
65175,65653,65654,65660
65701,63166,63166,70109
65270,65272,65272,66328
67912,62423,62424,69383
65521,65513,65514,65594
66685,63613,63614,68230
65877,65167,65167,65931
65652,65583,65583,65324
66058,65002,65003,66079
65346,65571,65572,65653
65433,65554,65555,65600
65405,65435,65435,65867
65400,65568,65568,65606
67991,62833,62833,68485
65236,65527,65528,65851
66448,64304,64305,67085
65634,65381,65381,65746
67228,63638,63639,67637
66157,64263,64264,67458
67122,63715,63716,67589
66016,65385,65385,65356
65777,64554,64555,67256
63469,64568,64569,69536
69523,63651,63651,65317
65138,64956,64956,67092
65101,64782,64783,67476
65440,65694,65694,65314
67617,63635,63635,67255
65590,65276,65277,65999
65729,65660,65661,65092
64409,65045,65046,67642
65516,65256,65256,66114
65109,65616,65616,65801
73877,62621,62621,63023
65388,65625,65625,65504
65027,65701,65702,65712
65742,65433,65433,65534
65628,65416,65416,65682
66681,64508,64509,66444
65055,65744,65744,65599
66236,65112,65112,65682
60759,62629,62629,76125
68780,62293,62294,68775
65045,65530,65531,66036
64809,65619,65619,66095
65480,65702,65702,65258
65560,65441,65442,65699
65962,64608,64608,66964
65253,63638,63638,69613
65237,65646,65646,65613
65719,65388,65389,65646
65442,65661,65661,65378
65425,65480,65481,65756
