1,2,3,4
66683,64176,64176,67107
61923,59683,59683,80853
58943,58849,58848,85502
56811,60138,60139,85054
66273,65296,65295,65278
55891,60697,60697,84857
67469,63718,63717,67238
54578,59789,59789,87986
66296,61959,61960,71927
68383,62271,62272,69216
68482,62232,62232,69196
64848,65111,65111,67072
62790,58515,58516,82321
69397,61984,61983,68778
69502,60683,60683,71274
66696,64097,64096,67253
66719,65102,65102,65219
64006,60653,60653,76830
68184,63646,63646,66666
57778,59085,59085,86194
66702,64271,64271,66898
68923,61439,61440,70340
76193,58056,58056,69837
68703,62778,62777,67884
68850,62067,62067,69158
54536,59855,59856,87895
70961,59712,59713,71756
67695,63668,63668,67111
67067,63776,63776,67523
66044,64277,64276,67545
66768,64697,64697,65980
69791,63267,63268,65816
66298,64620,64620,66604
66817,64455,64455,66415
61822,63446,63446,73428
61963,62750,62751,74678
66478,64747,64747,66170
65878,65214,65213,65837
66588,64769,64768,66017
66166,64912,64913,66151
66563,64890,64890,65799
68852,63161,63160,66969
66140,65169,65169,65664
66914,64067,64068,67093
67156,63907,63907,67172
66006,64988,64987,66161
66177,64938,64937,66090
65704,65173,65173,66092
66872,64325,64326,66619
65557,65255,65255,66075
67690,63726,63727,66999
67612,63553,63554,67423
68924,63292,63291,66635
68181,63461,63461,67039
66985,63961,63962,67234
68154,63476,63475,67037
68537,62476,62476,68653
70121,60734,60735,70552
65820,64998,64999,66325
71254,59071,59070,72747
67416,63392,63392,67942
66290,64682,64681,66489
69882,60986,60986,70288
68769,62357,62356,68660
65815,65160,65161,66006
66499,64788,64788,66067
65793,64176,64176,67997
67232,64106,64105,66699
66811,64373,64374,66584
66012,65392,65392,65346
68264,62812,62811,68255
72120,61057,61056,67909
66578,63883,63883,67798
67205,63784,63783,67370
66219,65021,65022,65880
65309,65577,65578,65678
67699,63171,63171,68101
67237,64219,64220,66466
67075,64321,64322,66424
67086,64762,64762,65532
65640,65611,65612,65279
65674,65505,65505,65458
67091,63797,63798,67456
65670,65409,65408,65655
66347,65073,65073,65649
66113,64780,64780,66469
