1,2,3,4
65893,64926,64925,66398
66793,64817,64817,65715
66212,65024,65024,65882
65379,65288,65288,66187
65765,65305,65304,65768
65221,65447,65447,66027
65531,65199,65198,66214
65498,65284,65284,66076
65882,64832,64832,66596
65815,64782,64782,66763
65934,64700,64700,66808
65740,65489,65489,65424
65920,64438,64438,67346
66350,64516,64515,66761
66255,64065,64064,67758
65411,64962,64961,66808
66280,65460,65459,64943
66683,65116,65116,65227
68656,65097,65096,63293
66036,64809,64809,66488
65675,65050,65050,66367
66357,64219,64219,67347
68780,63584,63584,66194
66096,64775,64774,66497
65944,64532,64531,67135
64884,65258,65258,66742
66392,63975,63975,67800
65736,65074,65074,66258
65642,64961,64961,66578
65791,65143,65142,66066
65803,65141,65141,66057
67025,64862,64862,65393
65783,65112,65111,66136
65871,65142,65141,65988
65764,65429,65429,65520
65898,65333,65333,65578
66021,65305,65305,65511
65151,65488,65487,66016
65667,65173,65172,66130
65427,65270,65270,66175
65681,65165,65165,66131
66234,64877,64876,66155
65736,65291,65291,65824
65746,65051,65051,66294
65791,64938,64938,66475
65178,65318,65317,66329
65557,65284,65283,66018
65245,65379,65378,66140
65301,65162,65162,66517
65105,65630,65629,65778
65900,65015,65015,66212
65544,65007,65007,66584
65050,64730,64729,67633
65970,64912,64912,66348
66154,65128,65128,65732
66149,64942,64941,66110
66007,64780,64779,66576
66828,64121,64121,67072
65553,65186,65186,66217
66568,63789,63788,67997
65226,64813,64812,67291
65383,65234,65233,66292
66484,64146,64145,67367
66141,64719,64718,66564
65101,65474,65474,66093
65686,65121,65120,66215
65184,65113,65113,66732
65867,65100,65099,66076
65584,65204,65204,66150
65393,65321,65321,66107
66118,64833,64832,66359
66190,64716,64715,66521
65688,65115,65114,66225
65624,64960,64959,66599
65143,65493,65493,66013
65738,65312,65312,65780
65846,64787,64786,66723
65963,65011,65011,66157
66037,65177,65177,65751
65885,65279,65279,65699
65313,65573,65573,65683
65217,65440,65440,66045
65729,64878,64878,66657
65341,65238,65237,66326
65454,65257,65256,66175
65570,65177,65177,66218
65728,65009,65008,66397
65742,65168,65168,66064
65388,65240,65240,66274
65446,65214,65213,66269
65460,65539,65539,65604
65663,65153,65152,66174
65353,65345,65344,66100
65606,65335,65334,65867
65760,65086,65086,66210
65586,65180,65180,66196
64835,65436,65436,66435
65430,65360,65360,65992
65576,65338,65337,65891
65555,65301,65300,65986
65120,65310,65310,66402
65342,65275,65274,66251
65224,65323,65322,66273
65526,65066,65065,66485
65444,65422,65421,65855
65315,65080,65079,66668
65606,65250,65249,66037
65338,65415,65415,65974
65389,65268,65268,66217
65360,65269,65268,66245
65413,65242,65241,66246
65966,64853,64852,66471
65467,65343,65342,65990
65405,65357,65357,66023
65470,65394,65394,65884
65681,64903,64902,66656
65437,65238,65237,66230
65307,65304,65304,66227
65432,65299,65298,66113
65486,65334,65334,65988
63687,65240,65240,67975
65858,65200,65200,65884
65373,65304,65304,66161
65432,65311,65310,66089
65890,65050,65049,66153
65981,64742,64741,66678
65655,64896,64895,66696
66575,64994,64994,65579
65380,64494,64494,67774
64957,65144,65143,66898
66190,64755,64755,66442
65425,65309,65309,66099
65449,65329,65328,66036
65317,65420,65419,65986
65437,65317,65316,66072
65900,65208,65208,65826
65797,65359,65359,65627
65432,65356,65355,65999
65486,65278,65277,66101
65671,65089,65089,66293
65731,65267,65267,65877
65396,65483,65482,65781
66022,64974,64973,66173
65800,65018,65018,66306
66007,64859,64858,66418
65794,65235,65235,65878
65343,65430,65429,65940
65682,65142,65141,66177
65388,65229,65228,66297
65623,65192,65192,66135
65909,65024,65024,66185
65898,64926,64925,66393
65445,65185,65185,66327
65935,64943,64942,66322
65431,65012,65012,66687
65468,65409,65408,65857
65643,65242,65241,66016
65594,65315,65315,65918
65997,64961,64960,66224
65795,65256,65256,65835
65659,65155,65155,66173
65238,65223,65222,66459
68023,64916,64916,64287
65420,65290,65289,66143
65920,65119,65119,65984
66105,64701,64701,66635
65347,65274,65273,66248
65507,65411,65410,65814
65341,65115,65114,66572
65333,65254,65254,66301
65599,65294,65294,65955
65574,64956,64956,66656
66375,64853,64852,66062
66384,64600,64600,66558
65808,65000,65000,66334
65543,65098,65098,66403
66835,64394,64394,66519
65555,65418,65418,65751
66197,64426,64425,67094
65798,64803,64802,66739
65415,65341,65341,66045
65487,65171,65171,66313
65269,65228,65228,66417
65828,64759,64758,66797
65273,65485,65485,65899
65566,65314,65313,65949
65386,65348,65348,66060
65025,65641,65641,65835
66034,64882,64882,66344
66201,64791,64791,66359
65391,64928,64927,66896
65675,65128,65128,66211
65766,65230,65230,65916
66255,64801,64800,66286
65295,65557,65556,65734
65223,65350,65350,66219
66093,65012,65012,66025
65505,65233,65233,66171
63310,64387,64387,70058
64972,65488,65488,66194
66465,64253,64253,67171
65109,65358,65358,66317
65658,64919,64919,66646
65459,65414,65414,65855
65641,65124,65123,66254
66630,64582,64582,66348
65457,65241,65241,66203
65603,65203,65202,66134
65772,65225,65224,65921
65978,64590,64590,66984
65851,64756,64755,66780
65999,65291,65290,65562
65613,65176,65176,66177
65150,65492,65492,66008
65570,65239,65238,66095
65445,64723,64723,67251
65283,65517,65516,65826
65957,65174,65174,65837
65434,65358,65357,65993
65328,65369,65368,66077
66238,64698,64698,66508
65566,64909,64909,66758
65335,65350,65350,66107
65665,65080,65080,66317
65410,65424,65423,65885
65639,64936,64936,66631
66059,64870,64869,66344
65625,64910,64910,66697
69446,62883,62882,66931
65685,65149,65148,66160
65887,62659,62659,70937
66741,64168,64168,67065
66178,64642,64641,66681
65807,64805,64805,66725
65624,65328,65327,65863
65742,65211,65211,65978
65191,64980,64980,66991
65440,65356,65356,65990
65210,65091,65091,66750
65698,65344,65344,65756
65689,64847,64846,66760
65911,65128,65127,65976
65131,65452,65451,66108
65105,65308,65307,66422
65698,64964,64963,66517
65472,65172,65171,66327
65643,65142,65141,66216
65661,65112,65112,66257
65847,64978,64977,66340
65147,65266,65265,66464
65487,65331,65330,65994
65909,64982,64981,66270
70497,64123,64122,63400
65569,65443,65443,65687
66286,64608,64608,66640
65370,65375,65375,66022
66077,64962,64962,66141
65771,65254,65254,65863
65364,65328,65327,66123
76540,63091,63090,59421
65180,65443,65442,66077
65511,65279,65278,66074
65657,65392,65392,65701
65891,65122,65122,66007
78957,62897,62896,57392
65377,65341,65341,66083
65582,65207,65206,66147
65578,64712,64712,67140
58679,63790,63790,75883
63203,64860,64860,69219
65519,65421,65421,65781
65512,65304,65304,66022
65407,65340,65339,66056
65190,65484,65483,65985
66355,64678,64677,66432
65513,65324,65324,65981
65438,65024,65024,66656
