1,2,3,4
65447,65139,65139,66417
65889,64361,64362,67530
56368,61937,61938,81899
62737,64017,64018,71370
65528,65492,65493,65629
65432,65454,65455,65801
65166,65653,65653,65670
65512,65222,65222,66186
67734,63894,63894,66620
66050,64993,64994,66105
65180,64992,64993,66977
65736,65090,65090,66226
65212,65328,65328,66274
66019,64584,64585,66954
65715,64882,64882,66663
66157,65230,65230,65525
65501,65482,65483,65676
65581,65318,65319,65924
65806,65103,65103,66130
66598,64760,64761,66023
65668,65554,65555,65365
65120,65603,65603,65816
65178,65543,65543,65878
65215,65315,65315,66297
65523,64981,64982,66656
65662,65221,65222,66037
65659,65417,65417,65649
65685,65387,65388,65682
65460,65043,65043,66596
65483,65543,65543,65573
65859,64956,64956,66371
73129,63205,63205,62603
65447,65053,65053,66589
65753,64911,64912,66566
66183,65165,65166,65628
65182,65326,65327,66307
66482,64999,64999,65662
73170,63519,63520,61933
65737,65002,65003,66400
65032,65510,65510,66090
65336,65530,65531,65745
65324,65372,65372,66074
65536,65522,65523,65561
66331,64430,64431,66950
66645,65091,65092,65314
65090,65586,65586,65880
65376,65409,65410,65947
65405,65564,65564,65609
65430,65499,65500,65713
66121,64665,64665,66691
65344,65481,65481,65836
65452,65426,65427,65837
69333,64228,64228,64353
65772,65062,65062,66246
65257,65524,65524,65837
65275,65252,65252,66363
65371,65590,65591,65590
62625,63850,63851,71816
65915,64938,64938,66351
66203,64877,64877,66185
65242,65654,65654,65592
65562,65279,65280,66021
65927,65215,65216,65784
65480,65449,65450,65763
65221,65359,65360,66202
66005,64769,64769,66599
65024,65510,65511,66097
64960,65550,65550,66082
65144,65557,65557,65884
65855,65278,65278,65731
65198,65617,65617,65710
66562,63918,63918,67744
65086,65477,65478,66101
64510,64941,64942,67749
64810,65676,65676,65980
65381,65514,65514,65733
65372,65344,65345,66081
66968,64467,64468,66239
65661,65231,65232,66018
65387,65066,65067,66622
65584,65371,65372,65815
65216,65546,65546,65834
65403,65464,65464,65811
65630,65564,65564,65384
65386,65497,65497,65762
65273,65323,65323,66223
65328,65687,65687,65440
65074,65485,65485,66098
65712,65436,65436,65558
65862,65240,65241,65799
65502,65561,65562,65517
65324,65499,65500,65819
58915,64283,64284,74660
51356,62578,62579,85629
77396,62395,62395,59956
92980,58480,58481,52201
65301,65342,65342,66157
64882,65646,65646,65968
65856,65357,65357,65572
65283,65684,65685,65490
64856,65524,65524,66238
65193,65514,65514,65921
65649,65559,65560,65374
65457,65619,65619,65447
65123,65575,65576,65868
66171,65256,65257,65458
66301,64821,64821,66199
65265,65101,65102,66674
63194,64626,64626,69696
65711,65199,65199,66033
65319,65488,65489,65846
65057,63622,63622,69841
65395,65278,65278,66191
67319,62924,62925,68974
65508,65400,65401,65833
66436,63840,63841,68025
65801,65136,65136,66069
65358,65548,65548,65688
65635,65244,65245,66018
65625,65234,65235,66048
65428,65438,65439,65837
65498,65383,65383,65878
65519,65457,65457,65709
67773,63080,63080,68209
65461,65250,65251,66180
66286,64347,64348,67161
65750,65281,65281,65830
66694,63932,63933,67583
66469,64359,64360,66954
66522,64138,64139,67343
66190,65133,65133,65686
65862,64571,64572,67137
63646,64732,64733,69031
68599,64135,64135,65273
64935,64953,64953,67301
64893,64967,64968,67314
65651,65442,65442,65607
66965,63973,63973,67231
65680,65139,65140,66183
65493,65697,65698,65254
64423,64995,64996,67728
65472,65303,65303,66064
64925,65690,65690,65837
72770,63233,63233,62906
65350,65498,65498,65796
65182,65551,65552,65857
65780,65304,65304,65754
65664,65274,65274,65930
66595,64628,64629,66290
65310,65486,65486,65860
65884,65150,65150,65958
61037,62908,62908,75289
68081,62958,62959,68144
64996,65542,65543,66061
64726,65710,65710,65996
65469,65727,65727,65219
65624,65244,65245,66029
65681,64843,64843,66775
65214,63881,63881,69166
65247,65616,65616,65663
65775,65369,65370,65628
65393,65514,65514,65721
65206,65600,65601,65735
65344,65461,65461,65876
68234,64788,64788,64332
65024,65588,65588,65942
64935,65570,65571,66066
66301,64558,64559,66724
64916,65610,65611,66005
69020,64852,64853,63417
69399,63640,63640,65463
65493,65413,65414,65822
66285,64576,64576,66705
65223,65417,65418,66084
66692,64399,64400,66651
65665,64947,64947,66583
65034,65635,65636,65837
66047,64495,64496,67104
67974,64616,64616,64936
65911,65112,65113,66006
65507,65228,65229,66178
65418,65623,65624,65477
66922,64219,64219,66782
66298,64430,64430,66984
65622,65436,65436,65648
74336,63277,63277,61252
65531,65394,65394,65823
67143,63984,63984,67031
65192,65480,65480,65990
68919,64288,64288,64647
66281,64345,64345,67171
65842,64814,64814,66672
65227,65633,65634,65648
65203,65527,65528,65884
64867,65673,65674,65928
66097,65149,65149,65747
65575,65159,65159,66249
65238,65517,65518,65869
65321,65297,65298,66226
66163,64659,64659,66661
65252,65610,65610,65670
64974,65689,65690,65789
67086,64654,64654,65748
65096,65431,65432,66183
66479,63966,63967,67730
65487,65620,65621,65414
65275,65287,65288,66292
58115,61597,61598,80832
64859,65543,65544,66196
67422,63624,63624,67472
65490,65441,65441,65770
65601,65119,65120,66302
65239,65574,65574,65755
75957,62823,62823,60539
65488,65194,65194,66266
65325,65493,65494,65830
69498,64422,64422,63800
64871,65538,65539,66194
65280,65291,65292,66279
66401,64249,64249,67243
66829,64190,64191,66932
65681,65194,65194,66073
65300,65351,65351,66140
65347,65436,65436,65923
65783,65306,65306,65747
65127,65418,65419,66178
67024,64829,64830,65459
65476,65723,65724,65219
65502,65333,65333,65974
65838,64739,64740,66825
65285,65553,65554,65750
66918,64058,64058,67108
65099,65420,65421,66202
65554,65374,65374,65840
69273,61978,61978,68913
65238,65625,65625,65654
65913,65427,65427,65375
70403,61271,61271,69197
67765,62933,62934,68510
69283,61928,61927,69004
65279,65493,65492,65878
65488,65562,65562,65530
65516,65554,65554,65518
66565,64970,64969,65638
70052,60857,60857,70376
77588,59847,59848,64859
66958,64205,64205,66774
67060,64479,64478,66125
65295,65596,65596,65655
68202,63086,63086,67768
67901,59379,59380,75482
68798,62177,62176,68991
65490,65394,65394,65864
66012,65019,65019,66092
68086,63093,63094,67869
66051,65214,65214,65663
67118,64156,64157,66711
62775,60890,60890,77587
66136,64696,64695,66615
66001,65308,65307,65526
66790,64064,64065,67223
67976,62694,62694,68778
65729,65188,65187,66038
65606,65542,65542,65452
68829,62255,62255,68803
66891,64450,64449,66352
68682,62227,62226,69007
65771,65259,65259,65853
66066,65138,65138,65800
65690,65514,65515,65423
68580,62660,62660,68242
65747,65116,65116,66163
66633,64598,64598,66313
67436,64031,64030,66645
66599,64445,64446,66652
66802,63775,63775,67790
67033,63901,63901,67307
66319,64918,64917,65988
66487,65052,65053,65550
66662,64513,64513,66454
67154,64147,64147,66694
67426,62803,62803,69110
66222,62090,62089,71741
67404,63757,63757,67224
65554,65366,65367,65855
65770,64843,64843,66686
65102,62335,62335,72370
65044,65409,65410,66279
66419,65036,65036,65651
68351,62333,62333,69125
68101,62757,62756,68528
69227,61699,61698,69518
67715,63555,63555,67317
66012,65182,65183,65765
77626,59459,59460,65597
72163,62993,62993,63993
67408,63433,63433,67868
66535,64704,64704,66199
69688,62068,62067,68319
65974,65024,65023,66121
66531,64685,64684,66242
66324,64958,64958,65902
67991,63505,63505,67141
64833,64315,64316,68678
65702,64944,64943,66553
67986,62878,62878,68400
69026,61910,61909,69297
67583,63350,63350,67859
65977,65435,65434,65296
65571,65136,65135,66300
66478,64812,64812,66040
67010,64225,64225,66682
65868,64851,64850,66573
66961,63758,63758,67665
66398,65101,65101,65542
65714,64983,64983,66462
77225,53355,53355,78207
66576,64882,64883,65801
66537,64131,64131,67343
70023,61378,61378,69363
65915,65200,65201,65826
65664,65008,65009,66461
65864,65229,65230,65819
66469,64679,64679,66315
67886,64607,64606,65043
65887,65563,65563,65129
69592,60994,60993,70563
66240,65057,65057,65788
67149,64073,64073,66847
68187,62538,62538,68879
68366,62553,62552,68671
68272,62651,62650,68569
66759,64350,64351,66682
65432,65408,65407,65895
66600,64819,64819,65904
66254,64658,64659,66571
65530,65272,65273,66067
67220,63870,63870,67182
65937,65265,65265,65675
68809,62291,62292,68750
68410,62567,62567,68598
69574,61289,61288,69991
66508,64651,64650,66333
66396,64590,64590,66566
65751,65390,65390,65611
73419,62448,62449,63826
66418,64427,64428,66869
66021,64567,64567,66987
66074,64733,64734,66601
66775,64665,64665,66037
65441,65317,65317,66067
69901,61806,61806,68629
69205,63111,63111,66715
70229,61186,61186,69541
65779,65287,65286,65790
46756,45691,45691,124004
80036,60397,60396,61313
68288,62419,62418,69017
67202,64295,64295,66350
69760,61494,61494,69394
65414,65431,65431,65866
64739,63245,63246,70912
66000,64950,64950,66242
69358,61728,61729,69327
68007,62823,62823,68489
67269,63721,63721,67431
66403,64525,64524,66690
66858,65027,65028,65229
67103,63390,63390,68259
67108,63733,63733,67568
69066,62497,62496,68083
