1,2,3,4
66574,64333,64333,66902
62372,61398,61398,76974
59443,61067,61066,80566
57860,62046,62047,80189
65963,65493,65492,65194
57221,62386,62386,80149
66972,64223,64222,66725
55985,61944,61944,82269
65925,62727,62728,70762
67657,63030,63031,68424
67995,62946,62946,68255
65083,65223,65223,66613
62830,60197,60198,78917
68498,62753,62752,68139
68639,61530,61530,70443
66330,64396,64395,67021
66593,65226,65226,65097
63825,62357,62357,73603
68053,64228,64228,65633
58347,61188,61188,81419
66604,64454,64454,66630
68015,62231,62232,69664
74811,59229,59229,68873
68168,63287,63286,67401
68081,62762,62762,68537
55955,61764,61765,82658
69770,60745,60746,70881
67435,63947,63947,66813
66870,64137,64137,66998
65992,64626,64625,66899
66572,64870,64870,65830
69161,63804,63805,65372
66266,64709,64709,66458
66808,64508,64508,66318
62338,64216,64216,71372
62497,63852,63853,71940
66196,65017,65017,65912
65876,65209,65208,65849
66154,64993,64992,66003
66092,65143,65144,65763
66458,65046,65046,65592
68291,63511,63510,66830
66020,65135,65135,65852
66730,64240,64241,66931
67215,63999,63999,66929
65834,65067,65066,66175
65903,65163,65162,65914
65452,65412,65412,65866
66466,64706,64707,66263
65206,65476,65476,65984
67332,64118,64119,66573
66864,63999,64000,67279
67982,63772,63771,66617
67800,63761,63761,66820
66401,64594,64595,66552
67683,63881,63880,66698
67934,62967,62967,68274
69199,61776,61777,69390
65655,65214,65215,66058
70197,60238,60237,71470
66693,63897,63897,67655
66208,64866,64865,66203
69419,61520,61520,69683
68182,62863,62862,68235
65750,65138,65139,66115
66284,65033,65033,65792
65811,64252,64252,67827
66661,64457,64456,66568
66652,64547,64548,66395
65656,65468,65468,65550
67756,63223,63222,67941
70415,62173,62172,67382
65974,64475,64475,67218
66515,64434,64433,66760
65723,65263,65264,65892
65252,65681,65682,65527
67364,63580,63580,67618
66784,64488,64489,66381
66975,64497,64498,66172
66807,65009,65009,65317
65657,65638,65639,65208
65721,65387,65387,65647
66885,63889,63890,67478
65536,65520,65519,65567
66163,65115,65115,65749
66309,64719,64719,66395
66423,64885,64885,65949
66229,64725,64726,66462
66043,64945,64946,66208
66546,64805,64805,65986
66024,65057,65058,66003
66037,65282,65281,65542
65620,65523,65522,65477
65816,65335,65335,65656
65991,64991,64991,66169
65523,65547,65547,65525
65492,65390,65391,65869
65293,65795,65796,65258
65704,65304,65304,65830
65755,65412,65411,65564
65749,65218,65218,65957
65460,65433,65433,65816
65319,65471,65470,65882
65862,64921,64920,66439
65785,65474,65473,65410
66352,64655,64655,66480
66346,64853,64852,66091
