,train,train,test,test
,accuracy,f1score,accuracy,f1score
SVC {'kernel': 'rbf'},0.8414285714285714,0.8183306055646481,0.7333333333333333,0.6638655462184874
KNeighborsClassifier {'n_neighbors': 8},0.7485714285714286,0.6845878136200716,0.72,0.625
"MLPClassifier {'hidden_layer_sizes': (64, 32, 16)}",1.0,1.0,0.7133333333333334,0.6950354609929077
KNeighborsClassifier {'n_neighbors': 16},0.7457142857142857,0.677536231884058,0.7066666666666667,0.5925925925925926
SVC {'kernel': 'linear'},0.8585714285714285,0.8558951965065502,0.7066666666666667,0.6901408450704226
"MLPClassifier {'hidden_layer_sizes': (64,)}",1.0,1.0,0.7,0.6715328467153284
"MLPClassifier {'hidden_layer_sizes': (16, 16)}",1.0,1.0,0.6966666666666667,0.6738351254480286
"MLPClassifier {'hidden_layer_sizes': (256,)}",1.0,1.0,0.6966666666666667,0.6690909090909092
KNeighborsClassifier {'n_neighbors': 2},0.8085714285714286,0.7665505226480837,0.6966666666666667,0.5919282511210763
"LogisticRegression {'max_iter': 1000, 'solver': 'saga'}",0.8485714285714285,0.8431952662721893,0.6933333333333334,0.6642335766423358
KNeighborsClassifier {'n_neighbors': 4},0.7714285714285715,0.7163120567375886,0.69,0.5866666666666667
"LogisticRegression {'max_iter': 1000, 'solver': 'liblinear'}",0.8442857142857143,0.8394698085419734,0.6833333333333333,0.6545454545454544
"MLPClassifier {'hidden_layer_sizes': (16, 32, 32, 16)}",1.0,1.0,0.6833333333333333,0.6619217081850535
"LogisticRegression {'max_iter': 1000, 'solver': 'lbfgs'}",0.8428571428571429,0.8382352941176471,0.6833333333333333,0.6545454545454544
"MLPClassifier {'hidden_layer_sizes': (32, 32)}",1.0,1.0,0.68,0.6496350364963503
"MLPClassifier {'hidden_layer_sizes': (128,)}",1.0,1.0,0.6766666666666666,0.6446886446886447
"MLPClassifier {'hidden_layer_sizes': (16, 32, 16)}",1.0,1.0,0.6733333333333333,0.6643835616438356
"MLPClassifier {'hidden_layer_sizes': (32, 32, 32)}",1.0,1.0,0.67,0.6550522648083623
"MLPClassifier {'hidden_layer_sizes': (128, 64, 64, 32)}",1.0,1.0,0.67,0.6373626373626374
DecisionTreeClassifier {'criterion': 'entropy'},1.0,1.0,0.6533333333333333,0.6601307189542484
DecisionTreeClassifier {'criterion': 'log_loss'},1.0,1.0,0.65,0.6341463414634146
DecisionTreeClassifier {'criterion': 'gini'},1.0,1.0,0.6466666666666666,0.6319444444444445
"MLPClassifier {'hidden_layer_sizes': (32, 64, 64, 32)}",1.0,1.0,0.6466666666666666,0.6074074074074075
LinearDiscriminantAnalysis {},0.8242857142857143,0.8122137404580153,0.6366666666666667,0.5947955390334572
SVC {'kernel': 'poly'},0.6071428571428571,0.3648960739030023,0.61,0.3389830508474576
GaussianNB {},0.6042857142857143,0.40430107526881714,0.61,0.360655737704918
"PassiveAggressiveClassifier {'max_iter': 1000, 'C': 1.0}",0.7385714285714285,0.7516960651289007,0.58,0.5624999999999999
