,train,train,test,test
,accuracy,f1score,accuracy,f1score
"MLPClassifier {'hidden_layer_sizes': (16, 32, 32, 16)}",1.0,1.0,0.66,0.6666666666666666
SVC {'kernel': 'rbf'},0.7914285714285715,0.7558528428093646,0.66,0.6330935251798562
KNeighborsClassifier {'n_neighbors': 16},0.7157142857142857,0.6465364120781527,0.6533333333333333,0.5968992248062016
"LogisticRegression {'max_iter': 1000, 'solver': 'lbfgs'}",0.7714285714285715,0.7626112759643917,0.64,0.6516129032258066
"LogisticRegression {'max_iter': 1000, 'solver': 'liblinear'}",0.77,0.7607726597325409,0.64,0.6516129032258066
"LogisticRegression {'max_iter': 1000, 'solver': 'saga'}",0.77,0.7607726597325409,0.64,0.6493506493506493
"MLPClassifier {'hidden_layer_sizes': (128,)}",1.0,1.0,0.6333333333333333,0.638157894736842
"MLPClassifier {'hidden_layer_sizes': (64,)}",1.0,1.0,0.6333333333333333,0.6308724832214765
KNeighborsClassifier {'n_neighbors': 8},0.7257142857142858,0.6595744680851064,0.6333333333333333,0.5736434108527132
"MLPClassifier {'hidden_layer_sizes': (16, 16)}",0.9985714285714286,0.9985569985569985,0.6266666666666667,0.6363636363636364
LinearDiscriminantAnalysis {},0.7742857142857142,0.7606060606060606,0.6266666666666667,0.6216216216216216
"MLPClassifier {'hidden_layer_sizes': (32, 32, 32)}",1.0,1.0,0.6233333333333333,0.6457680250783698
SVC {'kernel': 'linear'},0.8014285714285714,0.7903469079939668,0.62,0.625
KNeighborsClassifier {'n_neighbors': 4},0.7585714285714286,0.7060869565217391,0.6166666666666667,0.5418326693227091
"MLPClassifier {'hidden_layer_sizes': (32, 64, 64, 32)}",1.0,1.0,0.6133333333333333,0.618421052631579
"MLPClassifier {'hidden_layer_sizes': (32, 32)}",1.0,1.0,0.61,0.6261980830670926
"MLPClassifier {'hidden_layer_sizes': (128, 64, 64, 32)}",1.0,1.0,0.6066666666666667,0.6092715231788081
"MLPClassifier {'hidden_layer_sizes': (256,)}",1.0,1.0,0.6033333333333334,0.6098360655737706
"MLPClassifier {'hidden_layer_sizes': (64, 32, 16)}",1.0,1.0,0.6,0.6052631578947367
KNeighborsClassifier {'n_neighbors': 2},0.7942857142857143,0.7372262773722628,0.5966666666666667,0.4937238493723849
DecisionTreeClassifier {'criterion': 'log_loss'},1.0,1.0,0.5966666666666667,0.6058631921824104
DecisionTreeClassifier {'criterion': 'entropy'},1.0,1.0,0.5866666666666667,0.5866666666666667
"PassiveAggressiveClassifier {'max_iter': 1000, 'C': 1.0}",0.6714285714285714,0.661764705882353,0.5833333333333334,0.6153846153846154
GaussianNB {},0.5671428571428572,0.28705882352941176,0.58,0.36363636363636365
SVC {'kernel': 'poly'},0.58,0.2613065326633166,0.5766666666666667,0.31351351351351353
"MLPClassifier {'hidden_layer_sizes': (16, 32, 16)}",1.0,1.0,0.5766666666666667,0.5968253968253967
DecisionTreeClassifier {'criterion': 'gini'},1.0,1.0,0.5766666666666667,0.5993690851735016
