,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,361.0,9.0,361.0,784.0,3600.0,784.0,3600.0,4096.0,3136.0,4096.0,3136.0,11664.0,15625.0,11664.0,15625.0,15500.25,15750.25,15500.25,15750.25,60025.0,39006.25,60025.0,39006.25,44521.0,20592.25,44521.0,20592.25,45156.25,74802.25,45156.25,74802.25,82944.0,88506.25,82944.0,88506.25,16641.0,20449.0,16641.0,20449.0,21609.0,31506.25,21609.0,31506.25,9216.0,8742.25,9216.0,8742.25,10100.25,19044.0,10100.25,19044.0,38416.0,60762.25,38416.0,60762.25,54756.0,53130.25,54756.0,53130.25,54056.25,54756.0,54056.25,54756.0,75076.0,77841.0,75076.0,77841.0,23409.0,12656.25,23409.0,12656.25,11556.25,22650.25,11556.25,22650.25,8556.25,6162.25,8556.25,6162.25,12210.25,19600.0,12210.25,19600.0,22500.0,18906.25,22500.0,18906.25,53592.25,218089.0,53592.25,218089.0,385641.0,335241.0,385641.0,335241.0,145161.0,138384.0,145161.0,138384.0,161604.0,218556.25,161604.0,218556.25,124256.25,251001.0,124256.25,251001.0,270400.0,295392.25,270400.0,295392.25,115940.25,102720.25,115940.25,102720.25,15376.0,992.25,15376.0,992.25,49.0,1.0,49.0,1.0,1.0,2.25,1.0,2.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.25,0.25,6.25,992.25,3721.0,992.25,3721.0,9216.0,22500.0,9216.0,22500.0,41616.0,43472.25,41616.0,43472.25,37830.25,26406.25,37830.25,26406.25,26406.25,38220.25,26406.25,38220.25,37249.0,15625.0,37249.0,15625.0,20880.25,28392.25,20880.25,28392.25,7656.25,10201.0,7656.25,10201.0,7921.0,9801.0,7921.0,9801.0,13924.0,6806.25,13924.0,6806.25,4830.25,4624.0,4830.25,4624.0,14884.0,7921.0,14884.0,7921.0,4624.0,9702.25,4624.0,9702.25,12996.0,3782.25,12996.0,3782.25,3192.25,5112.25,3192.25,5112.25,841.0,6480.25,841.0,6480.25,961.0,2352.25,961.0,2352.25,5852.25,870.25,5852.25,870.25,2704.0,3080.25,2704.0,3080.25,1156.0,529.0,1156.0,529.0,484.0,625.0,484.0,625.0,3481.0,2070.25,3481.0,2070.25,36.0,1980.25,36.0,1980.25,2550.25,3481.0,2550.25,3481.0,1764.0,529.0,1764.0,529.0,702.25,1122.25,702.25,1122.25,2304.0,870.25,2304.0,870.25,784.0,256.0,784.0,256.0,1806.25,3540.25,1806.25,3540.25,2162.25,4225.0,2162.25,4225.0,506.25,8281.0,506.25,8281.0,3600.0,5329.0,3600.0,5329.0,5776.0,10302.25,5776.0,10302.25,4032.25,10404.0,4032.25,10404.0,34969.0,29412.25,34969.0,29412.25,44732.25,41006.25,44732.25,41006.25,78961.0,67600.0,78961.0,67600.0,101442.25,61009.0,101442.25,61009.0,66306.25,69696.0,66306.25,69696.0,125316.0,259081.0,125316.0,259081.0,288906.25,295936.0,288906.25,295936.0,39800.25,32942.25,39800.25,32942.25,33856.0,26896.0,33856.0,26896.0,21025.0,9312.25,21025.0,9312.25,51756.25,99225.0,51756.25,99225.0,141752.25,173056.0,141752.25,173056.0,117649.0,107584.0,117649.0,107584.0,20736.0,22650.25,20736.0,22650.25,625.0,49.0,625.0,49.0,64.0,4.0,64.0,4.0,1.0,1.0,1.0,1.0,1.0,6.25,1.0,6.25,2.25,9.0,2.25,9.0,6.25,6.25,6.25,6.25,16.0,16.0,16.0,16.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,20.25,900.0,20.25,900.0,14280.25,58081.0,14280.25,58081.0,219961.0,177662.25,219961.0,177662.25,390000.25,330050.25,390000.25,330050.25,330625.0,483025.0,330625.0,483025.0,580644.0,499142.25,580644.0,499142.25,400056.25,450912.25,400056.25,450912.25,233289.0,283024.0,233289.0,283024.0,196249.0,223256.25,196249.0,223256.25,180625.0,167281.0,180625.0,167281.0,207025.0,178929.0,207025.0,178929.0,99540.25,46440.25,99540.25,46440.25,92416.0,34040.25,92416.0,34040.25,19740.25,43681.0,19740.25,43681.0,19740.25,13340.25,19740.25,13340.25,5329.0,14042.25,5329.0,14042.25,8281.0,2352.25,8281.0,2352.25,2550.25,2601.0,2550.25,2601.0,1369.0,240.25,1369.0,240.25,420.25,182.25,420.25,182.25,289.0,196.0,289.0,196.0,156.25,72.25,156.25,72.25,441.0,16.0,441.0,16.0,9.0,42.25,9.0,42.25,12.25,64.0,12.25,64.0,361.0,25.0,361.0,25.0,20.25,121.0,20.25,121.0,196.0,0.25,196.0,0.25,90.25,156.25,90.25,156.25,625.0,36.0,625.0,36.0,552.25,56.25,552.25,56.25,729.0,256.0,729.0,256.0,289.0,380.25,289.0,380.25,256.0,2304.0,256.0,2304.0,210.25,400.0,210.25,400.0,529.0,1764.0,529.0,1764.0,1089.0,961.0,1089.0,961.0,1122.25,506.25,1122.25,506.25,6.25,756.25,6.25,756.25,25.0,56.25,25.0,56.25,42.25,9.0,42.25,9.0,16.0,306.25,16.0,306.25,81.0,64.0,81.0,64.0,6.25,25.0,6.25,25.0,4.0,64.0,4.0,64.0,6.25,12.25,6.25,12.25,9.0,0.25,9.0,0.25,0.25,2.25,0.25,2.25,0.25,6.25,0.25,6.25,9.0,6.25,9.0,6.25,4.0,1.0,4.0,1.0,4.0,2.25,4.0,2.25,9.0,6.25,9.0,6.25,2.25,4.0,2.25,4.0,2.25,0.25,2.25,0.25,0.0,6.25,0.0,6.25,2.25,1.0,2.25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,9.0,0.25,9.0,0.25,4.0,9.0,4.0,9.0,6.25,30.25,6.25,30.25,132.25,36.0,132.25,36.0,506.25,240.25,506.25,240.25,225.0,841.0,225.0,841.0,380.25,484.0,380.25,484.0,961.0,729.0,961.0,729.0,484.0,2352.25,484.0,2352.25,2756.25,961.0,2756.25,961.0,5112.25,4970.25,5112.25,4970.25,2970.25,6561.0,2970.25,6561.0,14641.0,9900.25,14641.0,9900.25,16129.0,30800.25,16129.0,30800.25,29412.25,25600.0,29412.25,25600.0,39204.0,18360.25,39204.0,18360.25,25281.0,29584.0,25281.0,29584.0,57360.25,41412.25,57360.25,41412.25,31684.0,16900.0,31684.0,16900.0,8190.25,26406.25,8190.25,26406.25,14042.25,11881.0,14042.25,11881.0,6320.25,7744.0,6320.25,7744.0,2550.25,306.25,2550.25,306.25,6162.25,462.25,6162.25,462.25,5625.0,17689.0,5625.0,17689.0,41820.25,29929.0,41820.25,29929.0,35910.25,67860.25,35910.25,67860.25,78680.25,40804.0,78680.25,40804.0,51756.25,84681.0,51756.25,84681.0,133590.25,116281.0,133590.25,116281.0,77562.25,55932.25,77562.25,55932.25,70490.25,48841.0,70490.25,48841.0,42025.0,59049.0,42025.0,59049.0,29584.0,22052.25,29584.0,22052.25,9801.0,1560.25,9801.0,1560.25,1156.0,5256.25,1156.0,5256.25,2970.25,3969.0,2970.25,3969.0,2401.0,3422.25,2401.0,3422.25,3969.0,3422.25,3969.0,3422.25,1122.25,576.0,1122.25,576.0,4692.25,1521.0,4692.25,1521.0,3660.25,4356.0,3660.25,4356.0,5700.25,6241.0,5700.25,6241.0,11881.0,46225.0,11881.0,46225.0,112560.25,213906.25,112560.25,213906.25,136530.25,80372.25,136530.25,80372.25,192721.0,211600.0,192721.0,211600.0,129240.25,57600.0,129240.25,57600.0,36864.0,20306.25,36864.0,20306.25,9216.0,5550.25,9216.0,5550.25,729.0,5184.0,729.0,5184.0,1056.25,841.0,1056.25,841.0,256.0,342.25,256.0,342.25,72.25,42.25,72.25,42.25,25.0,36.0,25.0,36.0,42.25,30.25,42.25,30.25,0.25,0.25,0.25,0.25,1
4,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,2352.25,324.0,2352.25,324.0,1980.25,324.0,1980.25,324.0,1640.25,1260.25,1640.25,1260.25,3481.0,3249.0,3481.0,3249.0,625.0,8742.25,625.0,8742.25,25122.25,19600.0,25122.25,19600.0,16129.0,29070.25,16129.0,29070.25,16900.0,36290.25,16900.0,36290.25,40602.25,29584.0,40602.25,29584.0,61256.25,89700.25,61256.25,89700.25,99225.0,54990.25,99225.0,54990.25,104652.25,125670.25,104652.25,125670.25,88804.0,51302.25,88804.0,51302.25,58806.25,85849.0,58806.25,85849.0,74256.25,25122.25,74256.25,25122.25,47742.25,47089.0,47742.25,47089.0,58564.0,38220.25,58564.0,38220.25,25122.25,34782.25,25122.25,34782.25,35344.0,21025.0,35344.0,21025.0,30102.25,21756.25,30102.25,21756.25,7744.0,29929.0,7744.0,29929.0,13340.25,9801.0,13340.25,9801.0,7832.25,3422.25,7832.25,3422.25,7921.0,6642.25,7921.0,6642.25,5184.0,3844.0,5184.0,3844.0,7396.0,4422.25,7396.0,4422.25,3422.25,1406.25,3422.25,1406.25,5041.0,1722.25,5041.0,1722.25,3364.0,3249.0,3364.0,3249.0,1722.25,3192.25,1722.25,3192.25,4624.0,4761.0,4624.0,4761.0,6642.25,3249.0,6642.25,3249.0,15625.0,3906.25,15625.0,3906.25,5625.0,3364.0,5625.0,3364.0,10000.0,1296.0,10000.0,1296.0,4096.0,5929.0,4096.0,5929.0,3025.0,5402.25,3025.0,5402.25,6889.0,2970.25,6889.0,2970.25,7482.25,7225.0,7482.25,7225.0,10506.25,6642.25,10506.25,6642.25,4830.25,14161.0,4830.25,14161.0,9120.25,22201.0,9120.25,22201.0,11130.25,13340.25,11130.25,13340.25,16129.0,10920.25,16129.0,10920.25,11449.0,16900.0,11449.0,16900.0,13689.0,14161.0,13689.0,14161.0,9120.25,16256.25,9120.25,16256.25,7921.0,12882.25,7921.0,12882.25,21316.0,8556.25,21316.0,8556.25,15876.0,2450.25,15876.0,2450.25,5550.25,10712.25,5550.25,10712.25,11130.25,8372.25,11130.25,8372.25,7056.0,7744.0,7056.0,7744.0,7482.25,5776.0,7482.25,5776.0,3481.0,3660.25,3481.0,3660.25,2025.0,3600.0,2025.0,3600.0,3422.25,3192.25,3422.25,3192.25,1024.0,2756.25,1024.0,2756.25,196.0,702.25,196.0,702.25,0.0,256.0,0.0,256.0,210.25,169.0,210.25,169.0,20.25,1.0,20.25,1.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,9.0,2.25,9.0,9.0,6.25,9.0,6.25,49.0,25.0,49.0,25.0,1156.0,1024.0,1156.0,1024.0,156.25,324.0,156.25,324.0,3906.25,1936.0,3906.25,1936.0,3844.0,3844.0,3844.0,3844.0,6642.25,2970.25,6642.25,2970.25,4970.25,5402.25,4970.25,5402.25,8836.0,6480.25,8836.0,6480.25,2401.0,8649.0,2401.0,8649.0,7396.0,9025.0,7396.0,9025.0,18090.25,22801.0,18090.25,22801.0,5256.25,14641.0,5256.25,14641.0,29241.0,43890.25,29241.0,43890.25,18360.25,34782.25,18360.25,34782.25,27889.0,25440.25,27889.0,25440.25,42230.25,14520.25,42230.25,14520.25,14280.25,34040.25,14280.25,34040.25,30976.0,19881.0,30976.0,19881.0,29929.0,19182.25,29929.0,19182.25,40602.25,38612.25,40602.25,38612.25,25921.0,19044.0,25921.0,19044.0,41820.25,48400.0,41820.25,48400.0,20306.25,44944.0,20306.25,44944.0,31684.0,41006.25,31684.0,41006.25,32761.0,59780.25,32761.0,59780.25,46440.25,49729.0,46440.25,49729.0,25600.0,23870.25,25600.0,23870.25,40804.0,49284.0,40804.0,49284.0,35344.0,23104.0,35344.0,23104.0,26732.25,56169.0,26732.25,56169.0,41616.0,36864.0,41616.0,36864.0,42642.25,35156.25,42642.25,35156.25,24492.25,29070.25,24492.25,29070.25,11556.25,12544.0,11556.25,12544.0,24806.25,29756.25,24806.25,29756.25,18360.25,16770.25,18360.25,16770.25,19321.0,19460.25,19321.0,19460.25,28224.0,4032.25,28224.0,4032.25,22952.25,23409.0,22952.25,23409.0,6400.0,10000.0,6400.0,10000.0,9312.25,16770.25,9312.25,16770.25,17556.25,14520.25,17556.25,14520.25,9900.25,8556.25,9900.25,8556.25,9506.25,6241.0,9506.25,6241.0,4225.0,5184.0,4225.0,5184.0,9120.25,4624.0,9120.25,4624.0,2550.25,9801.0,2550.25,9801.0,2756.25,4160.25,2756.25,4160.25,3844.0,5550.25,3844.0,5550.25,6889.0,2116.0,6889.0,2116.0,2756.25,2162.25,2756.25,2162.25,625.0,2116.0,625.0,2116.0,2550.25,169.0,2550.25,169.0,784.0,156.25,784.0,156.25,552.25,506.25,552.25,506.25,6.25,121.0,6.25,121.0,441.0,169.0,441.0,169.0,169.0,2116.0,169.0,2116.0,3481.0,38809.0,3481.0,38809.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.25,0.0,20.25,182.25,20.25,182.25,20.25,100.0,20.25,100.0,240.25,4.0,240.25,4.0,64.0,289.0,64.0,289.0,272.25,306.25,272.25,306.25,961.0,210.25,961.0,210.25,676.0,812.25,676.0,812.25,1190.25,132.25,1190.25,132.25,324.0,400.0,324.0,400.0,1122.25,121.0,1122.25,121.0,20.25,1369.0,20.25,1369.0,110.25,1936.0,110.25,1936.0,1089.0,1521.0,1089.0,1521.0,552.25,625.0,552.25,625.0,4970.25,1722.25,4970.25,1722.25,6480.25,3364.0,6480.25,3364.0,5852.25,7569.0,5852.25,7569.0,8556.25,5112.25,8556.25,5112.25,6400.0,3540.25,6400.0,3540.25,1764.0,4830.25,1764.0,4830.25,4900.0,5852.25,4900.0,5852.25,6972.25,6162.25,6972.25,6162.25,6724.0,7569.0,6724.0,7569.0,3600.0,2401.0,3600.0,2401.0,4900.0,4032.25,4900.0,4032.25,7569.0,4225.0,7569.0,4225.0,6084.0,3906.25,6084.0,3906.25,2809.0,1936.0,2809.0,1936.0,23870.25,46010.25,23870.25,46010.25,64262.25,43890.25,64262.25,43890.25,57600.0,78120.25,57600.0,78120.25,73170.25,61009.0,73170.25,61009.0,45582.25,37442.25,45582.25,37442.25,54056.25,37056.25,54056.25,37056.25,37830.25,39800.25,37830.25,39800.25,66822.25,46010.25,66822.25,46010.25,55932.25,73712.25,55932.25,73712.25,71022.25,82944.0,71022.25,82944.0,123552.25,89102.25,123552.25,89102.25,48180.25,79524.0,48180.25,79524.0,28224.0,21316.0,28224.0,21316.0,4356.0,1681.0,4356.0,1681.0,1722.25,3969.0,1722.25,3969.0,2916.0,2756.25,2916.0,2756.25,2352.25,756.25,2352.25,756.25,441.0,841.0,441.0,841.0,361.0,600.25,361.0,600.25,289.0,1122.25,289.0,1122.25,324.0,144.0,324.0,144.0,9.0,4.0,9.0,4.0,49.0,64.0,49.0,64.0,256.0,110.25,256.0,110.25,16.0,56.25,16.0,56.25,30.25,110.25,30.25,110.25,7310.25,16002.25,7310.25,16002.25,74256.25,49062.25,74256.25,49062.25,203852.25,431649.0,203852.25,431649.0,342810.25,408321.0,342810.25,408321.0,355216.0,23256.25,355216.0,23256.25,0.0,0.25,0.0,0.25,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.25,4.0,9.0,0.25,9.0,0.25,625.0,9.0,625.0,9.0,182.25,650.25,182.25,650.25,441.0,272.25,441.0,272.25,1296.0,2601.0,1296.0,2601.0,3721.0,1640.25,3721.0,1640.25,9216.0,5329.0,9216.0,5329.0,11025.0,25760.25,11025.0,25760.25,62750.25,40804.0,62750.25,40804.0,76729.0,46440.25,76729.0,46440.25,77284.0,64009.0,77284.0,64009.0,58322.25,68382.25,58322.25,68382.25,49506.25,63001.0,49506.25,63001.0,32220.25,10712.25,32220.25,10712.25,23716.0,24180.25,23716.0,24180.25,21609.0,19600.0,21609.0,19600.0,8649.0,13924.0,8649.0,13924.0,6806.25,26732.25,6806.25,26732.25,16384.0,24806.25,16384.0,24806.25,18632.25,30450.25,18632.25,30450.25,26896.0,26569.0,26896.0,26569.0,23870.25,13456.0,23870.25,13456.0,10302.25,24806.25,10302.25,24806.25,10100.25,11881.0,10100.25,11881.0,5112.25,11990.25,5112.25,11990.25,18225.0,6561.0,18225.0,6561.0,14400.0,15500.25,14400.0,15500.25,15750.25,23562.25,15750.25,23562.25,13110.25,10506.25,13110.25,10506.25,21756.25,15376.0,21756.25,15376.0,9506.25,1936.0,9506.25,1936.0,3422.25,7310.25,3422.25,7310.25,6806.25,4290.25,6806.25,4290.25,1849.0,2116.0,1849.0,2116.0,4624.0,4830.25,4624.0,4830.25,4970.25,3540.25,4970.25,3540.25,11772.25,18225.0,11772.25,18225.0,51302.25,58806.25,51302.25,58806.25,16129.0,10920.25,16129.0,10920.25,20736.0,13806.25,20736.0,13806.25,6642.25,7482.25,6642.25,7482.25,1156.0,5329.0,1156.0,5329.0,2756.25,5476.0,2756.25,5476.0,3540.25,3025.0,3540.25,3025.0,1681.0,2652.25,1681.0,2652.25,1892.25,650.25,1892.25,650.25,2025.0,1156.0,2025.0,1156.0,1122.25,1156.0,1122.25,1156.0,182.25,5256.25,182.25,5256.25,4160.25,3080.25,4160.25,3080.25,8464.0,3906.25,8464.0,3906.25,18769.0,14762.25,18769.0,14762.25,31506.25,17424.0,31506.25,17424.0,9216.0,13806.25,9216.0,13806.25,8649.0,10100.25,8649.0,10100.25,1369.0,306.25,1369.0,306.25,5329.0,992.25,5329.0,992.25,702.25,756.25,702.25,756.25,2601.0,21904.0,2601.0,21904.0,130321.0,37249.0,130321.0,37249.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.25,42.25,42.25,42.25,30.25,36.0,30.25,36.0,256.0,552.25,256.0,552.25,3192.25,7310.25,3192.25,7310.25,17689.0,23409.0,17689.0,23409.0,27889.0,55460.25,27889.0,55460.25,106276.0,75076.0,106276.0,75076.0,66049.0,77006.25,66049.0,77006.25,112896.0,70490.25,112896.0,70490.25,71022.25,37249.0,71022.25,37249.0,48180.25,39402.25,48180.25,39402.25,47306.25,27556.0,47306.25,27556.0,39601.0,52441.0,39601.0,52441.0,44521.0,60270.25,44521.0,60270.25,43056.25,33856.0,43056.25,33856.0,42642.25,50400.25,42642.25,50400.25,39800.25,47306.25,39800.25,47306.25,58806.25,74802.25,58806.25,74802.25,64770.25,47306.25,64770.25,47306.25,44732.25,24492.25,44732.25,24492.25,30450.25,41006.25,30450.25,41006.25,34969.0,18225.0,34969.0,18225.0,21609.0,16641.0,21609.0,16641.0,9025.0,6084.0,9025.0,6084.0,6400.0,14400.0,6400.0,14400.0,4489.0,6724.0,4489.0,6724.0,1936.0,2209.0,1936.0,2209.0,961.0,4032.25,961.0,4032.25,3721.0,702.25,3721.0,702.25,1332.25,1024.0,1332.25,1024.0,529.0,552.25,529.0,552.25,1260.25,1089.0,1260.25,1089.0,121.0,1056.25,121.0,1056.25,210.25,625.0,210.25,625.0,306.25,1521.0,306.25,1521.0,380.25,484.0,380.25,484.0,324.0,1089.0,324.0,1089.0,4489.0,8010.25,4489.0,8010.25,51756.25,279841.0,51756.25,279841.0,511225.0,278256.25,511225.0,278256.25,47524.0,53824.0,47524.0,53824.0,13340.25,1600.0,13340.25,1600.0,441.0,196.0,441.0,196.0,1892.25,2704.0,1892.25,2704.0,2116.0,380.25,2116.0,380.25,2352.25,1849.0,2352.25,1849.0,1296.0,2500.0,1296.0,2500.0,2652.25,2401.0,2652.25,2401.0,4032.25,992.25,4032.25,992.25,784.0,3600.0,784.0,3600.0,729.0,1369.0,729.0,1369.0,420.25,64.0,420.25,64.0,90.25,306.25,90.25,306.25,529.0,9.0,529.0,9.0,169.0,6.25,169.0,6.25,0.25,0.25,0.25,0.25,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,9.0,36.0,9.0,36.0,342.25,72.25,342.25,72.25,64.0,400.0,64.0,400.0,462.25,132.25,462.25,132.25,225.0,225.0,225.0,225.0,1156.0,552.25,1156.0,552.25,1332.25,961.0,1332.25,961.0,3600.0,2500.0,3600.0,2500.0,6162.25,3660.25,6162.25,3660.25,11236.0,21316.0,11236.0,21316.0,7921.0,12210.25,7921.0,12210.25,33124.0,34040.25,33124.0,34040.25,86142.25,66822.25,86142.25,66822.25,122150.25,70225.0,122150.25,70225.0,72900.0,194040.25,72900.0,194040.25,171810.25,145161.0,171810.25,145161.0,166056.25,165649.0,166056.25,165649.0,140625.0,220430.25,140625.0,220430.25,120062.25,120756.25,120062.25,120756.25,83521.0,142884.0,83521.0,142884.0,98910.25,81796.0,98910.25,81796.0,52212.25,29929.0,52212.25,29929.0,28056.25,27225.0,28056.25,27225.0,19044.0,31506.25,19044.0,31506.25,16512.25,14762.25,16512.25,14762.25,1980.25,6561.0,1980.25,6561.0,5184.0,4900.0,5184.0,4900.0,3136.0,552.25,3136.0,552.25,196.0,992.25,196.0,992.25,729.0,1122.25,729.0,1122.25,400.0,5700.25,400.0,5700.25,1560.25,1892.25,1560.25,1892.25,2025.0,1444.0,2025.0,1444.0,506.25,2704.0,506.25,2704.0,1156.0,4761.0,1156.0,4761.0,6320.25,1482.25,6320.25,1482.25,7396.0,3481.0,7396.0,3481.0,5041.0,1332.25,5041.0,1332.25,3025.0,812.25,3025.0,812.25,1521.0,1936.0,1521.0,1936.0,4096.0,7744.0,4096.0,7744.0,9702.25,7310.25,9702.25,7310.25,1892.25,2162.25,1892.25,2162.25,2500.0,3136.0,2500.0,3136.0,2500.0,3481.0,2500.0,3481.0,552.25,3080.25,552.25,3080.25,784.0,1482.25,784.0,1482.25,1225.0,3306.25,1225.0,3306.25,5112.25,5700.25,5112.25,5700.25,4032.25,1225.0,4032.25,1225.0,1406.25,650.25,1406.25,650.25,3192.25,5929.0,3192.25,5929.0,3782.25,1406.25,3782.25,1406.25,4556.25,3249.0,4556.25,3249.0,5184.0,1849.0,5184.0,1849.0,5329.0,5550.25,5329.0,5550.25,3192.25,7056.0,3192.25,7056.0,15500.25,8100.0,15500.25,8100.0,150544.0,24806.25,150544.0,24806.25,1
