1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32330,16131,8048,4157,2089,1102,554,277,132,71,29,15,9,4,3,1,2,1,0,0
32323,15889,8064,4123,2022,1024,549,274,136,77,37,21,4,6,1,1,0,1,0,0
32578,16008,7927,3969,2029,987,501,270,134,60,41,25,9,9,4,1,1,0,0,0
33087,16022,7975,3973,1951,980,500,257,113,61,35,14,8,4,1,1,2,0,0,0
32669,16250,8187,4200,2037,1001,540,247,147,64,36,16,11,2,3,2,0,1,0,0
33438,16040,7976,4031,1929,987,492,205,109,64,18,11,6,3,2,0,0,0,0,0
32262,16163,8142,4106,2127,1012,518,267,141,64,38,23,11,5,3,3,0,0,0,0
33492,16071,7797,3894,2020,959,496,223,115,61,30,19,8,4,4,1,0,0,0,0
31887,15904,8103,4011,2074,1063,536,280,173,75,40,24,13,10,5,2,2,0,0,0
31764,16005,7937,4192,2140,1081,583,256,153,70,43,23,17,8,4,1,0,0,0,0
31763,15737,8086,4082,2177,1088,590,294,147,75,35,35,9,3,4,1,1,1,0,0
32805,16326,8077,4196,2131,970,502,261,143,64,35,16,9,0,3,0,0,0,0,0
32037,15653,7809,3986,2062,1087,560,291,146,74,36,30,9,7,3,1,0,0,0,0
31643,15710,8203,4176,2163,1076,577,285,150,62,50,21,17,5,3,1,1,0,0,0
31602,15575,7964,4030,2162,1077,584,306,156,94,37,28,13,23,4,5,2,2,2,0
32244,16166,8036,4121,2109,1045,539,292,121,65,33,20,10,6,1,1,2,1,0,0
32430,16177,8374,4126,2128,1066,524,282,141,74,28,10,11,2,3,1,1,1,0,0
32235,15806,8071,4161,2059,1078,539,304,132,71,45,28,10,8,8,4,2,1,0,2
31805,15987,8275,4353,2215,1127,564,310,148,89,43,15,17,6,3,1,0,1,0,0
33003,16044,7844,3920,1882,963,529,281,131,86,34,23,13,4,1,1,3,0,0,0
32585,16084,8159,4123,2055,1035,546,255,141,61,48,17,8,5,2,2,0,0,0,0
31765,15754,8049,4060,2114,1144,548,305,169,77,39,23,16,6,9,0,0,0,0,0
30196,15187,7892,4189,2339,1220,703,352,211,107,78,34,22,14,7,4,5,5,1,1
31588,15984,8322,4201,2052,1090,555,290,146,67,39,16,10,5,3,0,1,0,0,0
32105,15826,8012,4165,2096,1091,558,272,146,78,39,12,22,8,6,7,2,0,0,0
33478,16040,7895,3900,1855,953,452,241,127,53,20,18,7,1,4,2,2,0,0,0
31142,15432,7957,4077,2114,1118,602,335,208,101,56,31,18,6,9,1,2,0,0,0
32206,16025,8100,4190,2041,1071,545,271,154,74,35,15,8,7,3,1,0,1,0,0
32400,16027,8126,4101,2094,1079,524,268,143,72,36,15,12,4,2,1,1,2,0,0
32302,16154,8197,4135,2110,1039,550,280,123,57,22,17,7,2,2,0,2,0,1,0
32306,16024,8294,4219,2105,1065,530,283,114,77,26,16,6,3,2,2,0,0,0,0
32099,15905,7995,4088,2168,1099,523,323,160,93,60,31,19,18,8,6,5,3,1,1
32529,16066,8328,4136,2045,1048,511,253,146,69,39,15,6,4,1,2,1,0,0,0
32355,16040,8175,4063,2125,1071,588,277,146,56,37,12,12,6,1,1,0,0,0,0
33007,16234,8207,3998,2038,996,531,258,126,64,28,18,4,4,4,1,0,1,0,0
32921,16134,8097,4073,2056,987,549,242,154,52,24,13,7,3,1,2,1,0,0,0
32756,16103,8349,4083,2080,1032,519,263,125,78,33,18,11,5,4,0,0,0,0,0
32719,16281,8151,4027,2106,1055,520,251,117,71,43,18,8,3,1,1,1,0,1,0
32691,16078,8113,4052,2173,1055,553,266,146,63,24,15,11,2,2,3,0,1,0,0
32212,16194,8164,4193,2136,1029,528,262,128,63,26,11,11,5,1,0,1,0,1,0
32411,16368,8228,4064,2118,1011,541,257,116,78,28,17,5,5,7,2,0,0,0,0
31975,15858,8317,4067,2103,1062,593,297,144,74,38,22,11,10,1,1,2,0,0,0
32535,16055,8177,4153,2106,1055,545,263,151,66,27,13,12,7,3,1,0,0,1,0
32284,16187,8185,4104,2063,1051,568,231,138,79,34,22,11,2,0,2,1,0,1,0
32126,16203,8088,4227,2055,1055,560,300,120,61,31,15,14,6,5,0,1,0,0,0
32691,16118,8298,4036,2044,1011,577,252,134,65,27,20,8,5,3,1,0,0,0,0
32322,16250,8146,4096,2134,1078,518,251,138,63,29,15,9,8,1,1,1,0,0,0
32623,16122,8234,4159,2064,1040,492,266,133,67,27,15,7,3,1,1,1,0,0,0
32451,16195,8045,4173,2075,1051,520,241,142,64,41,19,12,10,2,1,1,0,2,1
32579,16299,8258,4062,1983,1032,543,272,139,60,28,8,11,4,2,1,0,1,0,0
31911,16186,8115,4145,2133,1114,545,268,135,81,34,25,10,5,1,1,1,1,1,0
32106,15992,8219,4097,2079,1023,584,273,124,74,34,19,11,7,2,2,1,0,0,0
32114,16108,8188,4066,2095,1042,549,270,140,65,34,17,5,3,1,0,1,0,0,0
32219,16160,8045,4186,2036,1057,560,290,129,76,47,18,5,9,4,1,2,1,0,0
32589,16044,8152,4148,2149,1058,505,291,139,57,33,15,5,7,5,1,2,0,0,0
32006,16151,8205,4218,2191,984,570,258,130,69,42,14,9,4,3,1,0,1,0,0
31934,15768,8093,4173,2196,1073,581,267,160,83,36,15,17,3,0,1,2,1,2,0
31317,15722,8193,4115,2157,1101,563,325,168,77,48,25,11,9,5,2,0,2,1,0
32804,15986,8188,4074,2154,1059,519,238,136,66,24,12,9,3,0,4,0,0,0,0
31373,15301,7727,3924,2129,1101,635,340,195,105,67,40,24,19,13,8,1,3,2,1
32414,15949,8128,4092,2073,1053,500,255,156,67,34,23,11,4,1,1,0,0,0,0
32467,16248,8276,4071,1972,1084,518,256,123,61,30,19,7,3,6,2,1,0,0,0
31322,15466,7976,4217,2122,1099,615,293,187,95,45,30,9,8,1,5,3,0,1,0
31709,15948,8146,4108,2127,1081,589,285,174,74,30,21,15,6,4,2,0,0,0,0
32619,16181,8082,4128,2069,1013,580,264,136,59,25,16,9,2,3,3,0,0,0,0
32481,16369,8177,4077,2074,1015,543,236,137,72,33,22,12,4,0,2,0,0,0,0
32387,16217,8067,4112,2055,1070,526,264,130,73,29,23,3,5,0,1,0,0,0,0
32207,16231,8158,4199,2066,1061,511,266,131,64,40,18,10,4,0,1,0,1,0,0
32140,16215,8147,4118,2126,1028,529,281,130,73,28,21,18,5,3,1,0,1,0,0
32724,16151,8352,4127,2074,982,519,238,146,50,29,21,11,5,2,0,1,0,0,0
31884,15936,8177,4185,2098,1072,582,264,147,72,38,21,8,6,2,1,0,0,0,0
31925,16036,8021,4176,2161,1087,580,302,143,78,40,23,14,3,5,1,0,0,0,0
32161,16035,8188,4128,2127,1071,540,278,143,74,27,17,3,3,2,1,0,2,0,0
32118,16054,8037,4115,2139,1068,545,286,144,72,35,21,5,1,6,2,3,2,0,0
32564,16380,8211,4145,1985,1030,504,278,137,61,44,15,8,3,1,1,0,0,0,0
32626,16325,8276,4099,2060,1001,490,264,141,58,27,25,11,3,1,0,0,0,0,0
31784,16114,8045,4065,2052,1099,576,283,166,70,39,22,8,4,3,1,1,1,0,0
32216,15972,8090,4225,2142,1065,541,270,145,63,26,16,11,3,6,0,0,1,1,0
32544,16137,8152,4154,2113,1046,528,254,140,67,29,23,6,7,3,1,1,1,0,0
32324,16134,8275,4196,2115,1038,527,256,136,72,25,22,9,5,0,0,0,0,0,0
32824,16174,8206,4155,2100,994,527,280,105,58,31,18,14,4,2,0,1,0,0,0
32934,16121,8118,4164,2088,1055,509,249,115,62,31,20,5,5,0,2,0,0,1,0
32286,15955,8249,4129,2036,1050,549,271,131,75,47,20,8,7,3,0,0,0,0,0
32452,16422,8154,4152,2057,989,536,245,129,74,23,17,7,3,3,1,0,0,0,0
32453,16381,8110,4161,2075,1048,533,256,129,59,36,14,7,4,1,1,0,1,0,0
32502,16227,8295,4051,2071,1057,520,275,125,49,29,25,10,3,1,2,3,0,0,0
32508,15994,8242,4172,2048,1090,552,252,132,65,25,16,7,6,2,1,0,0,0,0
32486,15999,8131,4257,2170,1031,513,277,142,67,26,13,3,5,1,1,0,0,0,0
32381,16420,8073,4178,2039,1082,531,251,115,68,24,14,5,4,4,1,2,0,0,0
32578,16222,8136,4132,2050,1039,546,266,127,72,25,19,9,4,1,2,0,0,0,0
32741,16114,8203,4106,2093,1058,545,251,114,63,34,22,7,0,5,1,2,0,0,1
32573,16351,8096,4161,2044,1012,547,264,136,66,29,10,5,3,1,2,2,0,0,1
32591,16159,8296,4136,2020,1032,537,251,150,69,26,20,8,2,0,1,0,0,0,0
32356,16269,8250,4045,2102,1059,538,220,142,69,35,16,4,3,3,1,1,1,0,0
32764,16143,8151,4069,2133,998,527,262,141,71,25,13,8,2,3,2,0,0,0,0
32533,16162,8139,4172,2211,1026,511,224,120,67,38,11,7,3,1,0,1,0,0,0
32651,16122,8308,4116,2045,996,523,248,135,57,33,20,6,10,2,3,0,0,0,0
32821,16092,8298,3997,2081,1054,501,283,131,68,29,20,5,3,1,2,0,0,0,0
32513,16190,8174,4136,2057,1019,553,264,127,77,38,16,8,7,3,1,0,1,1,1
32750,16111,8130,4170,2084,987,573,270,128,62,32,18,8,7,1,0,0,0,0,1
32462,16231,8292,4112,2004,1046,564,227,126,63,33,18,10,4,5,1,0,0,0,0
32632,16090,8238,4075,2108,1037,516,258,135,70,20,12,8,7,2,1,0,0,0,0
32892,16283,8130,4039,2046,1000,538,270,134,79,35,12,4,2,1,0,0,0,0,0
32632,15990,8297,4166,2079,996,531,271,131,62,22,19,9,2,1,1,0,0,0,0
32819,15984,8283,4189,2091,995,535,268,138,69,30,17,2,3,1,4,0,0,0,0
32234,16391,8172,4087,2074,1040,534,259,138,60,39,18,4,3,2,0,0,0,1,0
32695,16185,8211,4222,2086,1003,509,207,140,73,27,16,7,10,1,1,1,0,0,0
32573,16188,8195,4141,2122,1039,543,262,110,51,33,16,8,6,3,0,0,0,0,0
32489,16072,8220,4066,2114,1022,542,284,122,64,35,12,6,5,6,1,2,1,0,0
32589,16246,7986,4090,2173,1005,535,261,159,67,26,14,13,4,3,0,0,0,0,0
32131,16117,8167,4115,2136,1101,510,249,141,74,33,24,8,3,5,1,0,0,0,0
32094,15900,8086,4132,2173,1061,554,284,162,76,41,20,5,5,0,1,2,0,0,0
32594,16233,8302,4161,1989,1008,537,280,129,57,32,23,4,3,0,2,0,0,0,0
32603,16209,8117,4027,2148,1047,552,280,116,62,30,16,7,2,3,1,1,0,1,0
32758,16107,8235,4174,2082,1009,499,256,133,64,38,16,8,6,2,0,0,0,1,0
32037,15905,8063,4177,2127,1086,566,261,132,89,31,26,9,1,3,2,2,0,0,0
32392,16254,8342,4118,2027,1024,535,254,144,71,32,9,6,5,3,1,0,0,0,0
32436,16296,8256,4152,2069,980,519,257,136,56,34,15,5,0,3,0,0,0,0,1
32639,16286,8268,4054,2075,1071,513,252,123,50,33,20,7,4,2,2,0,1,0,1
32593,16095,8348,4083,2120,1046,524,241,115,65,21,16,5,5,2,1,1,0,0,1
32738,16142,8091,4046,2123,967,530,256,139,71,33,11,12,7,3,0,1,0,0,0
32490,16326,8321,4147,2052,989,555,240,137,72,41,19,11,2,2,1,1,1,0,0
33002,16256,8150,4150,1992,1021,517,251,133,59,40,30,8,2,1,2,1,0,0,0
32608,16333,8137,4063,2075,1078,528,241,126,74,35,18,4,2,3,1,1,0,1,0
32491,16012,8378,4060,2155,1056,524,234,130,76,33,24,10,6,0,0,1,0,0,0
31922,15887,8058,4118,2056,1072,585,313,160,83,37,25,5,5,3,5,2,0,0,0
32300,15949,8297,4082,2091,1043,523,252,137,77,35,14,11,8,1,2,1,0,0,0
32062,16102,8201,4175,2101,1108,584,263,161,69,33,17,12,6,3,3,1,0,0,0
32098,15891,8034,4054,2102,1086,496,283,138,76,43,20,8,6,3,4,0,1,0,0
32547,15904,8268,4009,2119,1027,522,270,144,75,27,18,10,7,1,1,1,0,0,0
31797,15910,8151,4184,2169,1077,582,288,151,76,34,18,6,0,4,3,0,0,0,0
32497,16289,8245,4074,2089,993,537,261,134,65,27,16,5,2,4,1,2,0,0,0
32770,16075,8235,4092,2043,1031,517,282,152,59,35,15,9,2,3,0,0,0,0,1
32569,16227,8117,4094,2114,1027,523,250,146,57,26,15,11,6,1,1,1,2,1,0
32570,16189,8221,4063,2113,1005,486,299,141,65,31,17,10,2,2,2,2,0,0,0
32532,15922,8167,4173,2101,1063,562,267,136,61,46,13,8,5,6,1,0,0,0,0
32548,15924,8180,4171,2113,1113,482,296,141,69,38,18,9,9,6,0,0,0,0,0
32611,16263,8157,4164,2140,1060,505,271,122,63,25,17,10,2,4,0,2,0,0,0
