1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31710,15848,8082,4100,2136,1068,541,308,156,96,36,27,14,6,2,1,1,0,0,0
30455,14136,7053,3743,2002,1026,594,292,165,96,42,31,19,16,9,7,1,1,0,0
30767,14020,6696,3463,1838,954,493,294,130,101,65,32,15,18,9,7,3,4,2,0
31841,14237,6995,3527,1711,886,430,234,122,64,40,23,7,8,3,1,0,0,0,0
32731,16261,8164,4106,2019,1088,536,250,130,68,45,18,13,8,2,3,2,2,0,0
32191,14638,6953,3446,1673,808,459,203,108,67,32,10,10,3,2,1,1,1,0,0
30966,16009,8145,4134,2141,1094,596,296,157,88,41,30,5,4,3,4,1,1,1,0
32082,14267,6659,3393,1642,833,455,219,93,50,29,14,10,2,0,0,0,2,0,0
30780,15199,7618,3983,2017,1056,565,309,175,93,61,44,36,23,15,11,8,5,4,3
30126,15655,7820,3975,2098,1169,626,356,211,110,75,46,27,8,2,4,7,1,0,1
30218,15363,7843,4121,2144,1182,607,359,183,107,50,42,20,14,6,3,7,3,4,1
32662,16345,8031,4022,2026,1013,498,262,136,59,33,18,7,5,2,0,0,1,0,0
29384,13930,7011,3742,1946,1093,612,303,191,97,67,36,29,21,9,8,3,1,0,3
29820,15224,8015,4147,2230,1196,612,330,209,104,66,42,18,19,12,7,3,2,2,0
29301,14739,7646,3932,2207,1171,657,382,246,123,105,57,35,20,14,6,9,8,3,6
31608,16014,8089,4149,2110,1090,528,282,153,67,45,25,17,5,0,2,2,1,0,0
32135,16187,8315,4196,2017,1034,553,271,137,79,48,30,7,10,2,2,0,0,0,1
30474,14667,7493,3852,1910,1018,536,302,184,87,53,46,27,11,9,12,4,5,6,3
31393,15437,8038,4200,2262,1160,592,317,164,92,38,27,14,12,4,2,2,0,0,0
31172,14027,6867,3341,1774,854,437,254,149,73,60,37,19,15,9,6,4,7,5,3
31580,16010,7924,4168,2133,1143,533,298,160,80,41,19,9,6,7,2,0,0,0,0
29927,15031,7665,4034,2127,1161,624,372,204,115,90,44,34,22,14,6,10,3,3,4
26804,13718,7292,3988,2379,1383,844,497,333,220,131,96,69,62,33,27,17,13,8,7
30353,15520,7985,4190,2180,1192,637,360,167,90,57,30,17,6,8,4,4,0,0,0
30077,15487,7781,4126,2150,1224,646,353,181,113,63,29,23,7,9,5,3,2,0,1
32224,14095,6788,3417,1670,811,409,215,99,53,20,9,9,3,5,1,1,0,1,0
28764,14282,7491,4011,2202,1252,717,406,264,154,96,62,50,30,19,18,7,8,3,7
31124,15629,8054,4029,2177,1163,613,333,191,81,42,27,14,8,9,1,3,0,0,2
31469,15768,8004,4233,2188,1076,558,296,137,78,40,28,15,9,2,2,1,0,0,0
31923,15994,7991,4077,2118,1101,559,259,138,76,46,19,3,7,0,2,0,0,0,0
32176,16125,8020,4148,2172,1082,552,272,134,79,40,16,11,7,4,2,0,0,0,0
31346,15510,7905,4109,1980,1045,566,290,157,97,52,45,20,29,24,21,13,13,6,13
31827,16312,8134,4056,2034,1079,560,286,138,87,29,22,13,2,2,1,1,0,0,0
31807,16006,8121,4228,2127,1030,587,267,152,68,41,29,15,2,1,0,0,0,0,0
32561,15556,7587,3732,1999,972,471,251,138,64,31,19,11,6,2,1,0,1,0,0
32044,15322,7559,3866,1950,951,485,251,147,78,43,14,8,1,1,4,2,1,1,0
32084,16167,8182,4127,2035,1077,522,298,141,79,32,24,10,4,5,1,2,0,1,0
32495,16232,8055,4161,2080,1034,543,265,130,63,42,12,14,6,1,0,2,1,0,0
31959,16147,8036,4180,2150,1066,544,277,136,79,36,20,12,6,4,2,1,0,0,1
32072,16214,8128,4055,2053,1073,546,299,148,69,36,30,12,3,2,0,1,0,0,0
31898,16286,8034,4183,2156,1075,539,287,125,68,42,18,12,4,1,2,1,2,0,1
30450,15809,8190,4080,2211,1170,632,337,167,93,47,33,19,5,3,3,3,1,0,0
32288,16219,8165,4162,2113,1071,533,261,133,56,37,14,10,5,2,0,2,0,0,0
31398,15947,8253,4078,2115,1057,563,263,170,88,49,28,5,9,4,1,3,0,1,0
31238,15949,8033,4093,2163,1141,548,310,165,86,40,25,15,7,1,1,1,0,1,0
32504,16126,8333,4086,2015,1029,528,263,128,73,34,17,18,4,3,1,0,0,0,0
32289,16160,8143,4141,2108,1014,514,274,149,71,44,21,11,4,3,1,1,0,0,0
32562,16334,8195,4098,2076,996,526,246,134,64,31,18,6,5,2,2,1,0,0,0
