1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31858,16084,8088,4122,2047,1100,532,296,160,92,39,17,8,1,2,2,0,0,0,0
31445,14736,7216,3763,2022,1059,546,274,173,85,45,26,9,8,5,4,1,1,0,0
31849,14768,7114,3441,1791,969,481,266,143,65,53,33,21,15,8,2,4,1,1,1
32931,14958,7300,3533,1715,892,414,219,120,57,36,14,7,5,4,0,0,1,0,0
32423,16456,8106,4073,2036,1062,522,287,162,61,29,23,7,8,4,1,0,2,0,0
32978,15251,7215,3536,1720,807,418,219,114,54,26,14,7,3,2,0,1,0,0,1
31433,15923,8145,4133,2185,1086,555,294,160,84,40,13,7,8,4,3,2,0,1,0
33147,14782,7102,3445,1690,818,426,204,109,62,18,11,8,4,0,0,1,0,0,0
31254,15257,7733,3853,2080,1048,579,304,175,108,55,41,25,19,19,7,4,3,3,0
30789,15722,7824,4084,2140,1145,596,318,193,99,54,35,18,16,4,1,1,1,0,1
30636,15414,7944,4037,2220,1181,589,322,193,104,67,26,27,7,6,4,2,2,1,0
32681,16278,8117,4034,2051,1023,519,255,117,67,32,12,11,3,2,4,0,0,0,0
30270,14384,7253,3851,1944,1001,615,316,163,97,52,32,17,15,11,8,4,1,3,2
30375,15314,8012,4150,2219,1115,628,348,186,110,62,34,20,11,7,6,2,0,2,1
30066,14971,7701,4025,2121,1172,652,346,220,124,83,45,26,22,6,9,6,4,3,1
31736,15958,7972,4191,2102,1096,551,291,147,86,35,21,10,8,1,1,0,0,0,0
32167,16459,8223,4193,2016,1064,540,282,145,72,29,15,6,6,2,2,2,1,0,0
31657,15243,7433,3830,1910,975,564,316,147,94,57,33,25,16,13,2,4,2,4,1
31684,15584,8217,4223,2266,1154,571,291,166,79,45,16,8,8,5,1,0,0,0,1
32375,14623,6959,3394,1831,946,424,247,130,81,48,27,22,10,6,3,1,2,3,2
31632,15987,8066,4156,2151,1114,544,277,142,92,44,20,5,5,1,3,1,0,0,0
30644,15158,7735,3945,2126,1162,602,359,202,105,78,40,29,22,9,7,3,5,4,2
27960,14193,7522,4012,2439,1314,767,477,286,183,132,64,61,38,30,24,11,12,7,3
30671,15814,8106,4176,2167,1121,590,340,169,86,41,32,12,9,5,4,1,1,0,1
30536,15412,7976,4054,2156,1184,655,306,195,106,49,28,19,10,7,5,3,2,0,0
33048,14820,6923,3425,1728,841,419,219,120,49,23,16,10,7,2,2,1,0,0,0
29376,14584,7643,4031,2212,1158,686,426,237,173,76,45,26,26,15,10,5,2,2,2
31315,15861,8046,4112,2187,1131,575,307,157,87,45,27,9,7,7,3,1,2,0,0
31444,15941,8181,4138,2154,1123,547,264,138,69,45,23,12,7,4,3,0,1,1,0
32112,15986,8142,4071,2065,1091,531,286,139,70,38,18,10,4,4,2,3,0,0,0
32080,16171,8030,4126,2125,1124,550,287,134,66,47,19,5,7,5,2,0,0,0,0
