1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32684,16389,8002,4056,2061,1027,517,256,155,68,36,20,8,6,1,2,0,1,0,0
32204,16088,8248,4180,2036,1104,574,307,157,81,36,14,12,4,5,2,1,1,0,0
32396,16256,8199,4124,2032,1066,545,311,146,75,36,15,14,10,2,1,3,1,1,1
32533,16493,8207,4135,2011,1035,520,272,131,73,43,10,9,8,2,0,1,1,0,0
32866,16342,8199,4123,2042,1001,468,256,134,66,33,15,18,3,1,7,1,0,0,0
32712,16461,8171,4148,2106,1008,529,234,145,66,34,14,8,2,5,0,3,0,0,0
32544,16397,8124,4049,2075,1028,520,272,128,72,18,17,13,6,2,3,1,0,0,0
32467,16493,8228,4243,2015,1024,521,277,125,71,29,17,11,6,3,2,0,0,0,0
32622,16227,8041,3977,2065,1030,548,281,155,78,38,26,11,7,6,2,1,2,0,0
32451,16431,8031,3955,2078,1063,507,296,137,76,30,13,10,5,1,2,1,1,0,0
32663,16350,8022,4001,2084,1033,533,288,127,60,29,14,13,4,3,3,1,2,0,0
33043,16434,8128,4061,2112,1057,507,271,107,67,28,15,7,7,1,1,1,0,0,0
32354,16139,8033,4091,2034,1068,583,287,162,67,41,18,15,3,1,3,2,0,0,0
32412,16175,8101,4040,2064,1038,578,280,145,65,38,12,9,6,3,1,1,1,0,0
32260,16115,7893,4066,2076,1061,558,284,140,77,29,12,12,7,4,1,2,1,0,0
32563,16447,8174,4055,2056,946,523,276,129,49,39,11,10,4,3,0,2,1,0,0
32652,16509,8150,4154,2111,1008,537,267,132,65,40,10,7,5,2,2,0,0,0,0
32259,16351,8161,4170,2072,1070,566,270,164,89,40,15,17,6,4,3,2,2,0,0
32226,16373,8218,4250,2164,1115,553,284,169,78,41,24,17,6,3,0,2,0,0,0
32436,16375,8084,4124,2117,1015,533,291,153,84,45,16,15,6,1,3,1,0,0,1
32750,16324,8105,4062,2097,952,516,282,145,68,33,7,13,3,3,0,1,0,0,0
32441,16173,8015,4050,2086,1011,539,266,147,85,42,24,8,5,5,2,0,0,0,1
31598,15768,8090,4199,2206,1100,580,313,181,91,46,31,15,5,4,2,3,2,0,0
32541,16464,8106,4021,2129,977,495,275,138,84,29,13,6,5,4,1,1,0,0,0
32559,16250,8019,4030,2083,1016,537,285,130,71,35,13,8,9,5,2,0,1,0,0
32831,16508,8102,4077,2049,993,545,276,133,60,39,15,10,4,1,2,0,0,0,0
32355,16062,7898,4033,2031,1055,543,323,131,85,56,21,9,5,3,2,2,1,0,0
32568,16410,8134,4024,2112,978,539,272,140,57,33,19,8,4,0,1,1,0,0,0
32703,16354,8073,4080,2068,1006,536,272,113,66,33,16,9,3,4,2,0,0,0,0
32606,16535,8067,4111,2082,1023,520,253,135,66,26,14,7,4,2,0,0,0,0,0
32664,16532,7965,4087,2004,1076,527,260,135,57,38,11,9,5,3,1,1,0,1,0
32350,16193,8157,4036,2053,1026,560,299,157,82,36,19,23,11,6,5,4,1,2,0
32695,16357,8176,4070,2073,1037,507,247,129,56,39,13,13,5,0,0,0,2,0,0
32675,16495,8245,3918,2057,1027,511,260,140,58,34,15,9,5,3,2,1,0,1,1
32651,16600,8185,4084,2046,978,539,260,121,64,33,18,20,4,3,3,3,0,0,0
32657,16567,8078,4136,2126,1006,524,273,130,61,35,19,7,4,1,1,1,0,0,0
32788,16643,8122,4005,2017,1018,523,281,127,79,32,15,4,6,1,2,2,1,1,0
32870,16397,8211,4096,2016,990,536,249,112,56,28,15,13,3,0,2,0,0,0,0
32749,16371,8247,3994,2056,991,510,256,150,69,36,22,7,4,1,1,0,0,0,0
32832,16371,8094,4040,2128,1018,488,235,127,74,31,15,14,1,5,3,1,0,0,0
32813,16690,7995,4104,2013,975,524,274,125,63,23,12,7,6,1,3,1,0,0,0
32474,16315,8271,4074,2069,1039,532,237,130,71,40,12,7,6,0,0,1,0,0,0
32725,16637,8139,4053,2086,967,534,251,131,50,24,10,10,4,2,1,0,0,0,0
32771,16637,8052,4054,2084,956,508,260,135,70,30,14,8,4,0,0,0,0,0,0
32798,16299,8130,3971,2125,978,557,286,125,52,34,15,4,8,0,2,2,0,1,0
32908,16550,8210,4044,2002,992,498,234,127,60,32,13,12,3,0,2,0,1,0,0
32799,16279,8231,4042,2079,992,528,277,128,55,34,15,4,3,2,1,0,0,0,0
33129,16450,8099,4084,2037,987,501,258,116,57,29,8,12,3,2,1,2,0,0,0
32931,16393,8161,4062,1963,983,518,247,120,66,38,18,13,3,4,2,0,0,1,0
33023,16456,8111,4100,2051,964,515,246,135,49,35,18,10,4,2,2,0,1,0,0
32575,16259,8099,4133,2070,1017,544,273,132,75,32,20,7,2,1,0,0,1,0,0
32645,16423,8125,4030,2053,1053,493,254,123,71,43,13,9,1,0,1,0,0,0,0
33118,16249,8051,3964,2023,965,527,248,117,60,32,11,12,4,1,1,0,2,0,0
32633,16372,8132,4034,2090,999,560,253,134,57,40,14,6,1,1,2,2,1,0,0
32468,16436,8205,4070,2119,1026,498,271,137,65,30,17,9,3,2,1,0,0,0,0
32743,16324,8069,4142,2045,1004,529,303,138,50,30,22,9,7,0,1,0,0,0,0
32533,16225,8133,4025,2080,1046,539,279,132,69,36,16,10,5,5,1,1,0,0,0
31979,16090,8079,4163,2091,1021,567,284,149,70,35,19,12,6,6,1,1,0,0,0
33075,16328,8134,3994,2012,1016,510,294,123,58,38,14,9,5,3,2,0,2,0,0
32307,15792,7992,3989,2006,1052,578,309,182,83,50,25,10,4,6,4,1,1,0,0
32818,16515,7993,3930,2042,982,520,269,126,57,35,17,10,3,3,2,1,1,0,0
32777,16560,8282,3925,1991,1008,517,267,112,67,30,13,8,4,7,1,1,1,0,0
31940,16122,8083,4070,2037,1103,595,268,135,70,35,21,10,4,0,3,1,0,0,0
32318,16398,8047,4006,2079,1055,541,254,150,81,34,19,13,5,3,1,1,0,0,1
32938,16417,8085,4039,2143,977,524,227,118,56,30,16,6,5,0,1,0,0,0,0
32759,16297,8136,4108,2076,1031,508,256,138,60,23,17,12,4,3,2,0,0,0,0
32787,16389,8050,4058,2092,994,538,247,128,59,26,11,8,1,0,2,0,1,0,0
32661,16316,8049,4119,2078,1054,504,260,132,67,36,24,8,4,3,3,0,0,1,0
32648,16493,8005,4106,2104,998,523,255,114,74,35,12,12,5,3,1,1,1,0,0
32903,16392,8258,4084,2018,1020,487,245,126,65,37,14,7,6,0,0,0,1,1,0
32422,16402,8114,4019,2125,1028,531,276,142,60,29,15,12,3,2,2,2,1,0,0
32441,16239,8170,4073,2045,992,530,309,114,75,21,16,11,7,5,0,0,0,0,1
32734,16362,8044,4058,2051,1035,552,257,140,64,38,15,9,4,3,0,1,0,0,0
32712,16433,8115,4035,2065,999,483,263,135,52,32,16,10,5,1,2,2,1,0,0
32823,16404,8224,4172,2082,917,495,255,102,68,24,13,11,3,1,1,2,0,0,0
32764,16374,8181,4072,2077,999,523,285,123,58,36,12,6,2,5,0,1,0,0,0
32528,16193,8152,4033,2068,1068,524,246,138,66,36,17,7,4,3,2,3,2,1,0
32536,16315,8120,4130,2062,1018,544,264,136,60,33,16,11,0,4,2,1,1,0,0
32737,16520,7962,4026,2070,1059,549,246,134,72,36,21,9,5,2,1,2,2,0,0
32729,16428,8227,4104,2097,1018,526,234,118,47,28,17,10,5,1,0,0,1,0,0
33103,16469,8277,4002,2064,949,508,262,111,71,25,17,8,2,0,2,0,0,0,0
32956,16595,8166,3952,1981,1025,478,271,126,59,28,13,9,9,3,1,0,0,0,0
32759,16436,8044,3978,2058,977,528,275,137,74,32,19,13,6,0,0,0,1,0,0
32914,16397,8067,4080,2040,1016,508,242,129,65,29,13,12,5,1,1,0,0,0,0
