1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32112,16005,8446,4170,2064,1025,533,289,140,63,38,23,15,7,4,3,0,1,0,0
32247,15717,7952,4079,1962,1084,484,311,154,77,36,24,9,9,4,0,2,0,0,1
32598,15767,7861,3880,1904,992,494,303,146,80,51,18,12,5,5,1,1,2,0,0
33341,15953,7909,3925,1941,962,447,256,121,63,26,15,6,5,1,2,0,0,0,0
32794,16020,8245,4123,2181,1074,549,279,147,60,20,12,9,7,2,0,2,0,0,0
33610,16018,7885,3928,1939,940,398,222,122,53,15,21,8,5,6,1,0,0,0,0
32180,15929,8135,4254,2073,1101,564,282,131,66,46,10,11,7,1,1,1,2,1,0
33443,15906,7756,4009,1894,922,464,231,112,44,28,8,6,5,4,4,0,0,0,0
32093,15644,7985,4056,2093,1056,582,298,157,79,44,23,19,16,4,3,2,1,0,0
31625,15774,8100,4270,2182,1100,530,316,140,102,33,21,14,3,4,1,2,0,0,0
31641,15722,8062,4161,2084,1112,575,328,159,87,50,27,16,10,7,3,1,1,0,0
32700,16193,8214,4108,2059,1048,559,279,149,69,29,17,8,4,1,2,1,1,0,0
31888,15480,7760,3959,2065,1038,553,290,153,73,45,23,21,8,7,1,2,1,0,0
31702,15622,8142,4221,2124,1105,584,298,185,87,34,22,13,4,7,4,0,2,2,0
31360,15272,7986,4103,2125,1144,649,332,172,91,50,28,20,12,4,6,6,2,0,0
32326,16135,8168,4087,2148,1097,520,267,132,64,39,13,10,5,3,0,2,1,0,0
32240,16172,8495,4176,2063,1037,570,245,159,81,45,16,5,7,2,2,3,1,0,0
32391,15977,7942,4130,2014,1079,540,269,140,61,58,26,14,11,6,3,1,0,0,1
31746,15941,8485,4359,2239,1063,564,297,165,98,39,19,11,5,2,2,0,0,1,1
32972,15860,7833,3799,1925,1006,495,236,114,82,42,15,12,9,5,1,0,0,1,0
32272,16177,8115,4102,2083,1130,540,291,158,74,30,15,7,2,2,1,2,0,1,0
31636,15552,7986,4191,2063,1112,589,323,167,79,57,22,17,11,7,9,2,1,0,0
30003,14946,7972,4122,2328,1296,754,387,214,129,81,43,27,18,7,7,3,1,2,1
31617,15898,8241,4183,2186,1148,504,340,141,85,22,13,15,6,2,0,2,0,0,0
31551,15923,7981,4254,2077,1181,560,303,162,71,49,24,17,8,4,2,0,0,1,0
33603,15885,7678,3836,1921,922,446,225,106,52,28,12,4,5,1,0,0,0,0,0
30915,15224,8041,4192,2105,1107,607,325,188,110,62,36,22,15,10,2,5,3,1,0
31966,16048,8070,4254,2081,1098,564,297,129,83,38,25,14,5,1,0,0,0,0,0
32157,16140,8217,4091,2040,1095,572,269,155,84,41,16,10,3,4,1,0,0,0,0
32097,16330,8120,4240,2081,1040,496,285,142,64,32,17,11,9,4,1,0,0,0,0
32223,16082,8167,4214,2105,1088,560,284,142,79,39,20,8,4,6,2,0,0,0,0
32083,15800,8092,4121,2148,1082,572,324,157,97,51,44,22,14,9,10,7,7,3,1
32629,16026,8191,4114,2149,1076,551,265,154,59,31,16,7,2,1,1,0,1,0,1
32095,16117,8224,4225,2161,1052,536,285,134,66,39,19,12,6,1,1,0,0,0,0
32956,16054,8108,4169,2016,1028,496,284,101,67,34,16,10,5,3,1,0,0,0,0
