1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
32024,16164,8225,4115,2096,1089,541,278,136,48,45,22,6,5,3,3,1,1,0,0
32133,15984,8168,4179,2064,1030,541,286,132,79,44,21,8,3,2,2,0,0,1,0
32528,16206,8082,4003,1985,1032,540,280,129,76,35,19,6,8,4,1,0,1,1,0
32927,16326,8159,3987,1965,954,523,240,127,65,27,27,4,4,3,0,0,0,1,0
32793,16241,8200,4105,2093,1048,501,262,127,65,35,16,5,6,0,0,0,0,0,0
32899,16393,8027,3951,2053,968,506,256,134,47,33,7,7,7,5,0,0,0,0,0
32287,16248,8216,4041,2157,1050,530,276,122,56,26,17,7,6,1,0,1,0,0,0
32781,16350,7995,4015,2085,1005,486,255,106,49,36,11,7,5,5,2,0,0,1,0
32228,16025,7983,4236,2060,1053,539,262,129,79,39,18,13,4,6,2,1,0,1,0
31812,16107,8155,4119,2051,1063,575,288,139,78,36,16,7,7,4,0,1,0,0,0
31941,15886,8093,4210,2067,1053,565,276,152,75,46,21,8,7,3,1,0,0,0,0
32678,16464,8181,4079,2031,1033,521,273,131,62,28,14,11,5,3,1,0,1,0,0
32012,15934,7852,4139,2036,1020,555,307,119,81,58,22,12,4,3,1,1,2,0,0
32048,16107,8187,4148,2037,1061,559,264,141,75,42,23,5,6,2,3,0,1,1,0
31632,15822,8053,4068,2100,1081,562,293,155,89,42,32,10,6,2,2,0,2,0,1
32172,16133,8184,4168,2062,1050,525,278,122,61,35,9,9,3,3,0,0,1,0,0
32438,16335,8113,4254,2070,1085,557,266,118,67,31,27,10,3,3,1,1,0,0,0
32171,16094,8176,4084,2079,1061,579,293,141,73,46,19,4,11,2,1,0,0,3,0
31710,16334,8328,4385,2143,1099,579,307,137,79,33,20,19,7,2,4,0,0,0,0
32644,16182,7950,4003,2020,1006,512,251,132,74,45,23,15,6,2,7,1,1,2,0
32537,16057,8143,4091,2086,1051,561,265,147,54,43,20,8,3,2,2,1,0,0,0
31756,15980,7983,4087,2159,1015,564,295,145,80,57,34,11,3,5,3,1,0,0,0
30644,15544,8024,4167,2272,1201,619,362,188,101,59,35,24,13,4,2,1,0,0,1
32104,16315,8172,4140,1979,1084,539,290,132,68,40,24,6,3,0,1,0,1,0,0
31989,16151,7979,4115,2106,1120,532,277,147,67,43,24,11,2,3,3,0,0,0,0
32990,16550,7938,3990,1982,969,489,231,104,54,28,14,5,2,2,1,0,0,1,0
31743,15555,8059,4086,2090,1090,558,320,163,87,53,29,13,11,6,3,1,1,0,1
32389,16139,8214,4200,2025,1010,500,295,127,67,26,26,13,4,5,0,1,0,0,0
32396,16103,8134,4049,2124,1084,503,257,144,68,35,21,10,7,2,1,0,0,0,0
32630,16259,8165,4164,2014,1026,492,275,140,67,40,15,6,3,1,1,0,0,0,0
32281,16411,8245,4186,2019,986,541,261,140,58,38,21,11,8,0,2,0,0,0,0
31872,16106,8085,4181,2100,1021,539,287,165,97,52,38,13,14,6,9,2,2,2,4
