,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,784.0,169.0,784.0,34969.0,48841.0,34969.0,48841.0,55696.0,61009.0,55696.0,61009.0,148225.0,222784.0,148225.0,222784.0,331200.25,388752.25,331200.25,388752.25,561001.0,631230.25,561001.0,631230.25,456976.0,386262.25,456976.0,386262.25,613872.25,890192.25,613872.25,890192.25,1617984.0,1450820.25,1617984.0,1450820.25,628849.0,481636.0,628849.0,481636.0,358801.0,331200.25,358801.0,331200.25,153664.0,117306.25,153664.0,117306.25,266772.25,399424.0,266772.25,399424.0,833569.0,860256.25,833569.0,860256.25,648025.0,575322.25,648025.0,575322.25,1031240.25,972196.0,1031240.25,972196.0,933156.0,779689.0,933156.0,779689.0,251001.0,202050.25,251001.0,202050.25,151710.25,181050.25,151710.25,181050.25,157212.25,147072.25,157212.25,147072.25,332352.25,442225.0,332352.25,442225.0,502681.0,363006.25,502681.0,363006.25,975156.25,2155024.0,975156.25,2155024.0,6185169.0,4359744.0,6185169.0,4359744.0,2679769.0,2146225.0,2679769.0,2146225.0,2735716.0,3619506.25,2735716.0,3619506.25,4332642.25,4648336.0,4332642.25,4648336.0,3904576.0,3922380.25,3904576.0,3922380.25,2479050.25,1293906.25,2479050.25,1293906.25,165649.0,52670.25,165649.0,52670.25,729.0,9.0,729.0,9.0,1.0,12.25,1.0,12.25,2.25,2.25,2.25,2.25,0.0,0.0,0.0,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,20.25,0.25,20.25,15750.25,28900.0,15750.25,28900.0,229441.0,322624.0,229441.0,322624.0,571536.0,504810.25,571536.0,504810.25,745632.25,596756.25,745632.25,596756.25,595212.25,500556.25,595212.25,500556.25,459684.0,438244.0,459684.0,438244.0,326612.25,288906.25,326612.25,288906.25,226100.25,196249.0,226100.25,196249.0,148996.0,129600.0,148996.0,129600.0,146689.0,155630.25,146689.0,155630.25,160400.25,152881.0,160400.25,152881.0,145924.0,137641.0,145924.0,137641.0,140625.0,129240.25,140625.0,129240.25,116281.0,95172.25,116281.0,95172.25,97032.25,61256.25,97032.25,61256.25,90000.0,62750.25,90000.0,62750.25,59049.0,54522.25,59049.0,54522.25,58806.25,57360.25,58806.25,57360.25,38416.0,43056.25,38416.0,43056.25,33489.0,32400.0,33489.0,32400.0,47524.0,56169.0,47524.0,56169.0,50625.0,35156.25,50625.0,35156.25,26244.0,18632.25,26244.0,18632.25,11342.25,13689.0,11342.25,13689.0,14641.0,13225.0,14641.0,13225.0,17292.25,18632.25,17292.25,18632.25,21904.0,21756.25,21904.0,21756.25,15376.0,24336.0,15376.0,24336.0,29412.25,46010.25,29412.25,46010.25,49506.25,40401.0,49506.25,40401.0,37830.25,44100.0,37830.25,44100.0,58081.0,81225.0,58081.0,81225.0,94864.0,132132.25,94864.0,132132.25,108570.25,111556.0,108570.25,111556.0,310249.0,479556.25,310249.0,479556.25,684756.25,644006.25,684756.25,644006.25,923521.0,1089936.0,923521.0,1089936.0,1649940.25,1782225.0,1649940.25,1782225.0,1143830.25,1125721.0,1143830.25,1125721.0,2310400.0,3161284.0,2310400.0,3161284.0,5417256.25,3602404.0,5417256.25,3602404.0,693056.25,533630.25,693056.25,533630.25,378225.0,348100.0,378225.0,348100.0,303601.0,386262.25,303601.0,386262.25,1150256.25,1157776.0,1150256.25,1157776.0,2162370.25,2890000.0,2162370.25,2890000.0,2013561.0,1464100.0,2013561.0,1464100.0,429025.0,211140.25,429025.0,211140.25,2116.0,361.0,2116.0,361.0,196.0,196.0,196.0,196.0,36.0,196.0,36.0,196.0,64.0,156.25,64.0,156.25,240.25,169.0,240.25,169.0,132.25,56.25,132.25,56.25,16.0,4.0,16.0,4.0,1.0,2.25,1.0,2.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,650.25,17161.0,650.25,17161.0,475410.25,839056.0,475410.25,839056.0,2163841.0,3468906.25,2163841.0,3468906.25,5091792.25,6237506.25,5091792.25,6237506.25,6859161.0,6927424.0,6859161.0,6927424.0,7112889.0,6856542.25,7112889.0,6856542.25,5815332.25,5965806.25,5815332.25,5965806.25,4730625.0,4044121.0,4730625.0,4044121.0,3636649.0,3657656.25,3636649.0,3657656.25,3157729.0,2819041.0,3157729.0,2819041.0,2812329.0,2383936.0,2812329.0,2383936.0,2040612.25,1848240.25,2040612.25,1848240.25,1104601.0,884540.25,1104601.0,884540.25,487902.25,467856.0,487902.25,467856.0,274052.25,258572.25,274052.25,258572.25,169744.0,103362.25,169744.0,103362.25,85264.0,84390.25,85264.0,84390.25,62750.25,39204.0,62750.25,39204.0,18496.0,17822.25,18496.0,17822.25,10100.25,6806.25,10100.25,6806.25,4096.0,5329.0,4096.0,5329.0,2450.25,2352.25,2450.25,2352.25,1225.0,2809.0,1225.0,2809.0,1600.0,1406.25,1600.0,1406.25,420.25,1521.0,420.25,1521.0,784.0,576.0,784.0,576.0,552.25,625.0,552.25,625.0,1681.0,812.25,1681.0,812.25,272.25,992.25,272.25,992.25,3364.0,4225.0,3364.0,4225.0,4160.25,5852.25,4160.25,5852.25,6241.0,8464.0,6241.0,8464.0,8281.0,7140.25,8281.0,7140.25,11664.0,15876.0,11664.0,15876.0,16256.25,16384.0,16256.25,16384.0,17956.0,22801.0,17956.0,22801.0,19600.0,25281.0,19600.0,25281.0,10920.25,11990.25,10920.25,11990.25,13572.25,6320.25,13572.25,6320.25,3481.0,2070.25,3481.0,2070.25,1560.25,1296.0,1560.25,1296.0,1369.0,462.25,1369.0,462.25,256.0,324.0,256.0,324.0,240.25,1.0,240.25,1.0,196.0,144.0,196.0,144.0,90.25,110.25,90.25,110.25,49.0,20.25,49.0,20.25,20.25,0.25,20.25,0.25,20.25,20.25,20.25,20.25,16.0,6.25,16.0,6.25,0.0,9.0,0.0,9.0,9.0,12.25,9.0,12.25,1.0,0.25,1.0,0.25,30.25,1.0,30.25,1.0,6.25,2.25,6.25,2.25,1.0,12.25,1.0,12.25,6.25,1.0,6.25,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.25,2.25,4.0,6.25,4.0,6.25,81.0,16.0,81.0,16.0,462.25,600.25,462.25,600.25,1560.25,1156.0,1560.25,1156.0,2450.25,6162.25,2450.25,6162.25,6241.0,6400.0,6241.0,6400.0,8556.25,12544.0,8556.25,12544.0,19600.0,24964.0,19600.0,24964.0,30976.0,24180.25,30976.0,24180.25,46440.25,63001.0,46440.25,63001.0,100172.25,106602.25,100172.25,106602.25,173472.25,141376.0,173472.25,141376.0,231361.0,267806.25,231361.0,267806.25,356409.0,381306.25,356409.0,381306.25,494912.25,467856.0,494912.25,467856.0,534361.0,542432.25,534361.0,542432.25,543169.0,544644.0,543169.0,544644.0,468540.25,511940.25,468540.25,511940.25,394384.0,339889.0,394384.0,339889.0,288906.25,277202.25,288906.25,277202.25,215760.25,160801.0,215760.25,160801.0,133590.25,128164.0,133590.25,128164.0,56406.25,56882.25,56406.25,56882.25,52212.25,40200.25,52212.25,40200.25,116964.0,147456.0,116964.0,147456.0,499142.25,625681.0,499142.25,625681.0,922560.25,865830.25,922560.25,865830.25,773520.25,758641.0,773520.25,758641.0,1035306.25,952576.0,1035306.25,952576.0,1598960.25,1940449.0,1598960.25,1940449.0,1519056.25,1189190.25,1519056.25,1189190.25,1055756.25,982081.0,1055756.25,982081.0,635209.0,509796.0,635209.0,509796.0,273529.0,205662.25,273529.0,205662.25,87025.0,73170.25,87025.0,73170.25,40401.0,35532.25,40401.0,35532.25,37442.25,37249.0,37442.25,37249.0,38809.0,33672.25,38809.0,33672.25,29241.0,46010.25,29241.0,46010.25,53592.25,48841.0,53592.25,48841.0,40200.25,47961.0,40200.25,47961.0,41820.25,59049.0,41820.25,59049.0,79806.25,84681.0,79806.25,84681.0,305809.0,597529.0,305809.0,597529.0,1964202.25,2339370.25,1964202.25,2339370.25,2183006.25,2302806.25,2183006.25,2302806.25,2614689.0,2689600.0,2614689.0,2689600.0,1419672.25,980100.0,1419672.25,980100.0,404496.0,340472.25,404496.0,340472.25,137641.0,82082.25,137641.0,82082.25,61504.0,34225.0,61504.0,34225.0,20880.25,14161.0,20880.25,14161.0,6889.0,5112.25,6889.0,5112.25,1056.25,1482.25,1056.25,1482.25,729.0,324.0,729.0,324.0,56.25,306.25,56.25,306.25,6.25,0.25,6.25,0.25,1
4,0.0,0.0,0.0,0.0,42.25,484.0,42.25,484.0,6972.25,11664.0,6972.25,11664.0,13572.25,16900.0,13572.25,16900.0,28056.25,28056.25,28056.25,28056.25,66564.0,77841.0,66564.0,77841.0,113569.0,139502.25,113569.0,139502.25,238632.25,265225.0,238632.25,265225.0,254016.0,360600.25,254016.0,360600.25,394384.0,450912.25,394384.0,450912.25,832656.25,765625.0,832656.25,765625.0,1070190.25,1122540.25,1070190.25,1122540.25,1420864.0,1253280.25,1420864.0,1253280.25,1548780.25,1386506.25,1548780.25,1386506.25,1115136.0,1145970.25,1115136.0,1145970.25,1039380.25,850084.0,1039380.25,850084.0,761256.25,830832.25,761256.25,830832.25,713180.25,669124.0,713180.25,669124.0,574564.0,536556.25,574564.0,536556.25,626472.25,545382.25,626472.25,545382.25,450241.0,336400.0,450241.0,336400.0,361802.25,314160.25,361802.25,314160.25,298116.0,239121.0,298116.0,239121.0,164430.25,206116.0,164430.25,206116.0,141000.25,156420.25,141000.25,156420.25,106276.0,102720.25,106276.0,102720.25,80656.0,76729.0,80656.0,76729.0,79524.0,92112.25,79524.0,92112.25,63252.25,65280.25,63252.25,65280.25,81796.0,59292.25,81796.0,59292.25,71824.0,71289.0,71824.0,71289.0,71556.25,61752.25,71556.25,61752.25,111556.0,71824.0,111556.0,71824.0,68906.25,75625.0,68906.25,75625.0,77284.0,83232.25,77284.0,83232.25,68121.0,88804.0,68121.0,88804.0,107584.0,113569.0,107584.0,113569.0,114244.0,102400.0,114244.0,102400.0,110889.0,126380.25,110889.0,126380.25,118336.0,87320.25,118336.0,87320.25,102720.25,131769.0,102720.25,131769.0,135056.25,138756.25,135056.25,138756.25,120062.25,155236.0,120062.25,155236.0,130682.25,149769.0,130682.25,149769.0,137270.25,157212.25,137270.25,157212.25,166464.0,162006.25,166464.0,162006.25,167281.0,174724.0,167281.0,174724.0,169744.0,204304.0,169744.0,204304.0,162006.25,150932.25,162006.25,150932.25,177241.0,202050.25,177241.0,202050.25,152881.0,154842.25,152881.0,154842.25,154449.0,152490.25,154449.0,152490.25,123552.25,121452.25,123552.25,121452.25,124256.25,115940.25,124256.25,115940.25,74529.0,84100.0,74529.0,84100.0,74256.25,62001.0,74256.25,62001.0,56169.0,55460.25,56169.0,55460.25,64516.0,45369.0,64516.0,45369.0,37830.25,38612.25,37830.25,38612.25,21904.0,19182.25,21904.0,19182.25,11664.0,5700.25,11664.0,5700.25,5041.0,4624.0,5041.0,4624.0,2256.25,1156.0,2256.25,1156.0,506.25,441.0,506.25,441.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.0,2.25,1.0,81.0,156.25,81.0,156.25,784.0,1156.0,784.0,1156.0,4225.0,7921.0,4225.0,7921.0,30102.25,22201.0,30102.25,22201.0,59292.25,55696.0,59292.25,55696.0,58081.0,80089.0,58081.0,80089.0,71022.25,72630.25,71022.25,72630.25,82656.25,85556.25,82656.25,85556.25,145161.0,121452.25,145161.0,121452.25,142884.0,143641.0,142884.0,143641.0,190969.0,200704.0,190969.0,200704.0,248502.25,221841.0,248502.25,221841.0,241572.25,236196.0,241572.25,236196.0,277729.0,294306.25,277729.0,294306.25,296480.25,305256.25,296480.25,305256.25,356409.0,318660.25,356409.0,318660.25,361802.25,339306.25,361802.25,339306.25,391250.25,457652.25,391250.25,457652.25,391876.0,466489.0,391876.0,466489.0,452929.0,380072.25,452929.0,380072.25,504810.25,560252.25,504810.25,560252.25,447561.0,506944.0,447561.0,506944.0,493506.25,556516.0,493506.25,556516.0,526350.25,529984.0,526350.25,529984.0,546121.0,536556.25,546121.0,536556.25,514089.0,483720.25,514089.0,483720.25,532170.25,609961.0,532170.25,609961.0,600625.0,558756.25,600625.0,558756.25,667489.0,616225.0,667489.0,616225.0,544644.0,582169.0,544644.0,582169.0,632820.25,559504.0,632820.25,559504.0,537289.0,636804.0,537289.0,636804.0,526350.25,478172.25,526350.25,478172.25,519120.25,452256.25,519120.25,452256.25,383780.25,384400.0,383780.25,384400.0,348690.25,327756.25,348690.25,327756.25,278256.25,293222.25,278256.25,293222.25,312481.0,242556.25,312481.0,242556.25,246016.0,255530.25,246016.0,255530.25,214832.25,197136.0,214832.25,197136.0,195364.0,141376.0,195364.0,141376.0,165242.25,161202.25,165242.25,161202.25,170982.25,130682.25,170982.25,130682.25,104652.25,132860.25,104652.25,132860.25,122850.25,98596.0,122850.25,98596.0,104976.0,76729.0,104976.0,76729.0,81510.25,63001.0,81510.25,63001.0,67340.25,68121.0,67340.25,68121.0,55460.25,72630.25,55460.25,72630.25,49729.0,56882.25,49729.0,56882.25,35344.0,39204.0,35344.0,39204.0,28730.25,37442.25,28730.25,37442.25,21316.0,20736.0,21316.0,20736.0,22052.25,14884.0,22052.25,14884.0,8836.0,14520.25,8836.0,14520.25,10302.25,7310.25,10302.25,7310.25,8010.25,7396.0,8010.25,7396.0,7225.0,8464.0,7225.0,8464.0,9409.0,7225.0,9409.0,7225.0,135424.0,678976.0,135424.0,678976.0,1
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,4.0,0.25,4.0,90.25,72.25,90.25,72.25,380.25,1225.0,380.25,1225.0,3782.25,2116.0,3782.25,2116.0,3481.0,3600.0,3481.0,3600.0,6480.25,7140.25,6480.25,7140.25,8464.0,7656.25,8464.0,7656.25,12100.0,7310.25,12100.0,7310.25,9702.25,9900.25,9702.25,9900.25,10201.0,8649.0,10201.0,8649.0,8190.25,9409.0,8190.25,9409.0,14520.25,18769.0,14520.25,18769.0,10712.25,21316.0,10712.25,21316.0,14641.0,21316.0,14641.0,21316.0,21170.25,30625.0,21170.25,30625.0,56406.25,58806.25,56406.25,58806.25,72630.25,73441.0,72630.25,73441.0,70490.25,78400.0,70490.25,78400.0,75900.25,74802.25,75900.25,74802.25,71824.0,86730.25,71824.0,86730.25,95481.0,72092.25,95481.0,72092.25,87616.0,93942.25,87616.0,93942.25,93330.25,89700.25,93330.25,89700.25,73984.0,73984.0,73984.0,73984.0,65536.0,71824.0,65536.0,71824.0,80089.0,73712.25,80089.0,73712.25,106276.0,97344.0,106276.0,97344.0,94864.0,82082.25,94864.0,82082.25,106276.0,114244.0,106276.0,114244.0,355812.25,475410.25,355812.25,475410.25,807302.25,1068122.25,807302.25,1068122.25,1155625.0,1072260.25,1155625.0,1072260.25,1154550.25,929296.0,1154550.25,929296.0,763002.25,666672.25,763002.25,666672.25,582932.25,595212.25,582932.25,595212.25,634412.25,653672.25,634412.25,653672.25,841806.25,843642.25,841806.25,843642.25,945756.25,985056.25,945756.25,985056.25,1099352.25,1229881.0,1099352.25,1229881.0,1309880.25,1403040.25,1309880.25,1403040.25,947702.25,783225.0,947702.25,783225.0,400689.0,273529.0,400689.0,273529.0,181476.0,116964.0,181476.0,116964.0,84390.25,58564.0,84390.25,58564.0,33856.0,29756.25,33856.0,29756.25,23256.25,18360.25,23256.25,18360.25,9604.0,10000.0,9604.0,10000.0,8464.0,5852.25,8464.0,5852.25,3600.0,4160.25,3600.0,4160.25,3969.0,3844.0,3969.0,3844.0,3025.0,2116.0,3025.0,2116.0,1225.0,1024.0,1225.0,1024.0,1849.0,1980.25,1849.0,1980.25,676.0,1056.25,676.0,1056.25,992.25,5700.25,992.25,5700.25,146306.25,282492.25,146306.25,282492.25,819930.25,1143830.25,819930.25,1143830.25,3231006.25,6770404.0,3231006.25,6770404.0,6252500.25,6744409.0,6252500.25,6744409.0,5331481.0,478172.25,5331481.0,478172.25,0.0,0.25,0.0,0.25,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,49.0,2.25,49.0,121.0,600.25,121.0,600.25,1444.0,529.0,1444.0,529.0,2162.25,2756.25,2162.25,2756.25,5625.0,8010.25,5625.0,8010.25,17424.0,25281.0,17424.0,25281.0,47961.0,64770.25,47961.0,64770.25,117649.0,180625.0,117649.0,180625.0,315844.0,375156.25,315844.0,375156.25,683102.25,720801.0,683102.25,720801.0,931225.0,939930.25,931225.0,939930.25,952576.0,942841.0,952576.0,942841.0,975156.25,1023132.25,975156.25,1023132.25,829010.25,820836.0,829010.25,820836.0,539490.25,469910.25,539490.25,469910.25,313600.0,303050.25,313600.0,303050.25,306916.0,329476.0,306916.0,329476.0,247009.0,250000.0,247009.0,250000.0,305256.25,366630.25,305256.25,366630.25,310249.0,381306.25,310249.0,381306.25,360600.25,363006.25,360600.25,363006.25,413449.0,410881.0,413449.0,410881.0,428370.25,341056.0,428370.25,341056.0,266772.25,212060.25,266772.25,212060.25,148610.25,132496.0,148610.25,132496.0,162812.25,147840.25,162812.25,147840.25,117649.0,141376.0,117649.0,141376.0,181476.0,154842.25,181476.0,154842.25,208392.25,213906.25,208392.25,213906.25,301950.25,299756.25,301950.25,299756.25,267806.25,294849.0,267806.25,294849.0,270920.25,177241.0,270920.25,177241.0,146306.25,113906.25,146306.25,113906.25,90300.25,71556.25,90300.25,71556.25,38809.0,34596.0,38809.0,34596.0,82369.0,174306.25,82369.0,174306.25,115940.25,67340.25,115940.25,67340.25,116622.25,230400.0,116622.25,230400.0,1148112.25,1001000.25,1148112.25,1001000.25,458329.0,487902.25,458329.0,487902.25,469225.0,306362.25,469225.0,306362.25,94556.25,82082.25,94556.25,82082.25,55696.0,64516.0,55696.0,64516.0,51756.25,48400.0,51756.25,48400.0,35156.25,23716.0,35156.25,23716.0,23716.0,29070.25,23716.0,29070.25,25122.25,20592.25,25122.25,20592.25,19600.0,16900.0,19600.0,16900.0,23256.25,16129.0,23256.25,16129.0,27722.25,20880.25,27722.25,20880.25,45582.25,65792.25,45582.25,65792.25,139129.0,191406.25,139129.0,191406.25,259081.0,313040.25,259081.0,313040.25,335820.25,318096.0,335820.25,318096.0,202500.0,192282.25,202500.0,192282.25,134689.0,116622.25,134689.0,116622.25,67600.0,50400.25,67600.0,50400.25,32761.0,32580.25,32761.0,32580.25,35532.25,35910.25,35532.25,35910.25,64009.0,205209.0,64009.0,205209.0,2653641.0,570025.0,2653641.0,570025.0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.25,20.25,42.25,20.25,56.25,529.0,56.25,529.0,6889.0,16002.25,6889.0,16002.25,92720.25,119370.25,92720.25,119370.25,327184.0,364816.0,327184.0,364816.0,498436.0,689730.25,498436.0,689730.25,1214404.0,1336336.0,1214404.0,1336336.0,1420864.0,1386506.25,1420864.0,1386506.25,1408969.0,1195742.25,1408969.0,1195742.25,957462.25,877969.0,957462.25,877969.0,629642.25,691392.25,629642.25,691392.25,557262.25,585225.0,557262.25,585225.0,571536.0,579121.0,571536.0,579121.0,659344.0,773520.25,659344.0,773520.25,660156.25,693889.0,660156.25,693889.0,743906.25,805506.25,743906.25,805506.25,674862.25,796556.25,674862.25,796556.25,737022.25,726756.25,737022.25,726756.25,708122.25,768252.25,708122.25,768252.25,618582.25,607620.25,618582.25,607620.25,572292.25,509082.25,572292.25,509082.25,446224.0,407044.0,446224.0,407044.0,366025.0,361201.0,366025.0,361201.0,247009.0,235225.0,247009.0,235225.0,209764.0,174724.0,209764.0,174724.0,124609.0,131769.0,124609.0,131769.0,75625.0,60516.0,75625.0,60516.0,71289.0,49952.25,71289.0,49952.25,44100.0,31152.25,44100.0,31152.25,24180.25,20449.0,24180.25,20449.0,14641.0,19460.25,14641.0,19460.25,12432.25,10000.0,12432.25,10000.0,9801.0,8930.25,9801.0,8930.25,5852.25,9216.0,5852.25,9216.0,8742.25,8649.0,8742.25,8649.0,4160.25,6724.0,4160.25,6724.0,8464.0,12769.0,8464.0,12769.0,62001.0,134322.25,62001.0,134322.25,1448412.25,3345241.0,1448412.25,3345241.0,6295081.0,3750032.25,6295081.0,3750032.25,910116.0,850084.0,910116.0,850084.0,187922.25,99856.0,187922.25,99856.0,17956.0,12996.0,17956.0,12996.0,22952.25,17956.0,22952.25,17956.0,23104.0,23256.25,23104.0,23256.25,24492.25,20449.0,24492.25,20449.0,27889.0,25600.0,27889.0,25600.0,26406.25,28900.0,26406.25,28900.0,35910.25,31506.25,35910.25,31506.25,26244.0,28224.0,26244.0,28224.0,20736.0,9216.0,20736.0,9216.0,5700.25,5476.0,5700.25,5476.0,5700.25,5112.25,5700.25,5112.25,1936.0,1225.0,1936.0,1225.0,289.0,132.25,289.0,132.25,30.25,2.25,30.25,2.25,1
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,16.0,4.0,4.0,196.0,4.0,196.0,484.0,324.0,484.0,324.0,2070.25,1406.25,2070.25,1406.25,8100.0,5625.0,8100.0,5625.0,9702.25,5700.25,9702.25,5700.25,7921.0,8100.0,7921.0,8100.0,14400.0,13110.25,14400.0,13110.25,29756.25,15129.0,29756.25,15129.0,37249.0,55696.0,37249.0,55696.0,67860.25,79806.25,67860.25,79806.25,156025.0,140625.0,156025.0,140625.0,215296.0,315282.25,215296.0,315282.25,456976.0,626472.25,456976.0,626472.25,886422.25,1011030.25,886422.25,1011030.25,1460472.25,1488400.0,1460472.25,1488400.0,2108304.0,2150622.25,2108304.0,2150622.25,2571212.25,2458624.0,2571212.25,2458624.0,2655270.25,2601769.0,2655270.25,2601769.0,2418025.0,2147690.25,2418025.0,2147690.25,1864590.25,1867322.25,1864590.25,1867322.25,1697809.0,1471369.0,1697809.0,1471369.0,1053702.25,952576.0,1053702.25,952576.0,796556.25,737881.0,796556.25,737881.0,621732.25,481636.0,621732.25,481636.0,430336.0,357006.25,430336.0,357006.25,229920.25,209306.25,229920.25,209306.25,104652.25,96100.0,104652.25,96100.0,91809.0,60025.0,91809.0,60025.0,40401.0,37830.25,40401.0,37830.25,22801.0,21170.25,22801.0,21170.25,19044.0,32220.25,19044.0,32220.25,25921.0,29070.25,25921.0,29070.25,34040.25,34410.25,34040.25,34410.25,34596.0,29241.0,34596.0,29241.0,24180.25,27225.0,24180.25,27225.0,32041.0,38809.0,32041.0,38809.0,50400.25,35910.25,50400.25,35910.25,39204.0,41616.0,39204.0,41616.0,46656.0,52212.25,46656.0,52212.25,51076.0,45582.25,51076.0,45582.25,51984.0,60025.0,51984.0,60025.0,63504.0,50176.0,63504.0,50176.0,53130.25,57360.25,53130.25,57360.25,52212.25,53592.25,52212.25,53592.25,54289.0,45796.0,54289.0,45796.0,50176.0,51984.0,50176.0,51984.0,54522.25,54990.25,54522.25,54990.25,47089.0,42230.25,47089.0,42230.25,53824.0,61256.25,53824.0,61256.25,56406.25,47742.25,56406.25,47742.25,48180.25,46225.0,48180.25,46225.0,41006.25,61752.25,41006.25,61752.25,45582.25,51984.0,45582.25,51984.0,68906.25,66822.25,68906.25,66822.25,77562.25,71824.0,77562.25,71824.0,72900.0,60025.0,72900.0,60025.0,76176.0,82082.25,76176.0,82082.25,80940.25,88804.0,80940.25,88804.0,147072.25,198025.0,147072.25,198025.0,1760929.0,527802.25,1760929.0,527802.25,1
