iter	Logloss
0	0.6859068952
1	0.6795266288
2	0.6723459734
3	0.6662122454
4	0.6586601039
5	0.6515581403
6	0.6453764561
7	0.6384825788
8	0.6315153285
9	0.6248281424
10	0.6188643973
11	0.6122187151
12	0.6073598807
13	0.6026372419
14	0.5965000698
15	0.5906727818
16	0.5850561523
17	0.5807583618
18	0.5755165318
19	0.5700545829
20	0.5653618949
21	0.5608218384
22	0.5566234916
23	0.5526145717
24	0.5473860386
25	0.5429860142
26	0.5381897845
27	0.5343269566
28	0.5306899588
29	0.5263264683
30	0.5224805559
31	0.5191144671
32	0.5152383859
33	0.5113759504
34	0.5082928031
35	0.5061150687
36	0.5028265381
37	0.4993067278
38	0.4960455322
39	0.4933558001
40	0.4904612514
41	0.4879083252
42	0.4855378069
43	0.4830807931
44	0.4801198033
45	0.4771588571
46	0.4750245013
47	0.4723253959
48	0.470025286
49	0.4677489362
50	0.4659465245
51	0.4639678083
52	0.460952192
53	0.458417184
54	0.4567573765
55	0.4539930507
56	0.4515242222
57	0.4492655727
58	0.4475840541
59	0.4451955305
60	0.4435327148
61	0.4419716971
62	0.4399091012
63	0.4379458182
64	0.4360351127
65	0.4346151297
66	0.4326216779
67	0.4311685617
68	0.4294758824
69	0.4282255772
70	0.4264113508
71	0.4248399571
72	0.4232579259
73	0.4218598284
74	0.420350429
75	0.4188218907
76	0.4176903861
77	0.4161958531
78	0.4147857666
79	0.4135990252
80	0.4121866281
81	0.410912214
82	0.4093886021
83	0.4079827009
84	0.4069702584
85	0.4058430699
86	0.4044643293
87	0.4034504046
88	0.4021201869
89	0.4008484759
90	0.399705549
91	0.3986180769
92	0.3977562169
93	0.3967148699
94	0.395538766
95	0.3946411133
96	0.3934365409
97	0.3924285889
98	0.3915726144
99	0.3907895333
100	0.3897688947
101	0.3890144566
102	0.3884055437
103	0.387689427
104	0.3867830985
105	0.3861197771
106	0.3853261893
107	0.3845847866
108	0.3837008667
109	0.3831719971
110	0.3825675746
111	0.3819123186
112	0.3810822841
113	0.3802462769
114	0.3795195661
115	0.3788188389
116	0.3782930211
117	0.3777354213
118	0.3772296143
119	0.3763738142
120	0.3755702863
121	0.3750709316
122	0.374589495
123	0.3739222499
124	0.3731745257
125	0.3725387137
126	0.3718307495
127	0.3711955915
128	0.3706962367
129	0.3700823103
130	0.3692699323
131	0.3686983817
132	0.3680398124
133	0.3675389753
134	0.3669438389
135	0.3661480277
136	0.3656775338
137	0.3652453613
138	0.3646127319
139	0.3641865758
140	0.3637388829
141	0.3631729126
142	0.3628819275
143	0.362414529
144	0.3619873265
145	0.3614430891
146	0.3608482797
147	0.3604859706
148	0.360062888
149	0.3596346828
150	0.3592235238
151	0.3587671552
152	0.3584895107
153	0.3579616874
154	0.3574786813
155	0.3570801217
156	0.3565516445
157	0.3559844971
158	0.3554614258
159	0.3551606315
160	0.3547901699
161	0.3543236869
162	0.3538876125
163	0.3534612165
164	0.3531345694
165	0.3527144078
166	0.3523453413
167	0.3519669887
168	0.3515392848
169	0.3510599845
170	0.3507522365
171	0.3503263419
172	0.3500213623
173	0.3495115444
174	0.3490361023
175	0.3487586321
176	0.3482473755
177	0.3477770996
178	0.3473939514
179	0.3471343558
180	0.3469420733
181	0.3467323521
182	0.346413487
183	0.3461788068
184	0.3458259801
185	0.3456011963
186	0.3452224513
187	0.3449541364
188	0.3446541268
189	0.3443590001
190	0.3439915466
191	0.3437146432
192	0.3435101972
193	0.3431879098
194	0.3428950283
195	0.3427158465
196	0.3425121634
197	0.3421405683
198	0.3418374852
199	0.3414941624
200	0.3413224574
201	0.3411921474
202	0.3409614781
203	0.3407523891
204	0.3404319545
205	0.3400432914
206	0.339770704
207	0.3394632394
208	0.3392820086
209	0.3390001569
210	0.3386423165
211	0.3383489554
212	0.3381055995
213	0.3376299831
214	0.3372674997
215	0.3370778329
216	0.3367404393
217	0.3365190778
218	0.3363235692
219	0.335970677
220	0.335783299
221	0.3356467765
222	0.3353842599
223	0.3351542446
224	0.3349356079
225	0.334755685
226	0.3345519802
227	0.3343637521
228	0.3341145325
229	0.3338902283
230	0.333724714
231	0.3333649554
232	0.3330789403
233	0.3329454259
234	0.3327395194
235	0.3325787136
236	0.3324510847
237	0.3321207755
238	0.33189488
239	0.3316379874
240	0.3316128104
241	0.3313758632
242	0.3311066764
243	0.3308355713
244	0.3305941336
245	0.3303876604
246	0.3301812962
247	0.3299737549
248	0.3297265625
249	0.3295565796
250	0.3293998064
251	0.3291729518
252	0.3290531267
253	0.3288581412
254	0.3287272862
255	0.3285741316
256	0.3283536203
257	0.3282664708
258	0.3280470712
259	0.327867388
260	0.3276971654
261	0.3275695801
262	0.3274317278
263	0.3273189
264	0.3271572004
265	0.3270283726
266	0.326875
267	0.3267184448
268	0.3264977809
269	0.3262144252
270	0.3260332162
271	0.3257878767
272	0.3256004987
273	0.3253459167
274	0.3252385821
275	0.3250348554
276	0.324891728
277	0.3247419303
278	0.3246414621
279	0.3244878278
280	0.3243795558
281	0.324210641
282	0.324072113
283	0.3239823696
284	0.3237968445
285	0.3236419896
286	0.3235172381
287	0.3234287371
288	0.3232427107
289	0.3231439209
290	0.3229974365
291	0.3228747995
292	0.3227168492
293	0.3226294599
294	0.3224498204
295	0.3222959246
296	0.3220848519
297	0.3219772121
298	0.3218564279
299	0.321703077
300	0.3214450509
301	0.321312779
302	0.3211392648
303	0.3209396798
304	0.3206817845
305	0.3205434745
306	0.3202869088
307	0.3201426479
308	0.3200305176
309	0.3199132865
310	0.3197942243
311	0.3196317618
312	0.3194045803
313	0.3192047991
314	0.3190097918
315	0.3188278634
316	0.318692409
317	0.3185320391
318	0.3184133475
319	0.3183133807
320	0.3181332833
321	0.3179981777
322	0.3178857204
323	0.3177140154
324	0.3175868007
325	0.317422311
326	0.3171982247
327	0.3170179749
328	0.3169388689
329	0.3168694632
330	0.3166796875
331	0.3165739005
332	0.3164402989
333	0.316363569
334	0.3162160601
335	0.3160300555
336	0.3159160069
337	0.3156911577
338	0.3155619376
339	0.3154142543
340	0.3152448382
341	0.3150439235
342	0.3148355539
343	0.3145369176
344	0.3143559919
345	0.3142405919
346	0.3140447126
347	0.3138349261
348	0.3137418692
349	0.3135905893
350	0.3134553092
351	0.3133412388
352	0.3132254028
353	0.3131105913
354	0.3129707554
355	0.3127833775
356	0.3126383972
357	0.3125226266
358	0.3124689811
359	0.3123093959
360	0.3121792603
361	0.3120223563
362	0.3118586949
363	0.3116424997
364	0.3115368434
365	0.3114385114
366	0.3113400705
367	0.3112287467
368	0.3110964312
369	0.3108779689
370	0.3106355286
371	0.3104364014
372	0.3102896554
373	0.3101353019
374	0.3099825614
375	0.3099164254
376	0.3097958592
377	0.3096868025
378	0.30945561
379	0.3093493216
380	0.3092131042
381	0.3090576172
382	0.3089385986
383	0.3088016837
384	0.308664202
385	0.3085004534
386	0.3083683777
387	0.3082834298
388	0.3082013375
389	0.3079427447
390	0.3078213065
391	0.3076951817
392	0.3075691877
393	0.3074617004
394	0.3073551287
395	0.3072131566
396	0.307056318
397	0.3069098336
398	0.3068048968
399	0.306620091
400	0.3065387399
401	0.3063955253
402	0.3063218035
403	0.3061236136
404	0.3059793527
405	0.3058987427
406	0.3056603132
407	0.305577131
408	0.3054293387
409	0.3053453282
410	0.3051504517
411	0.3050841413
412	0.3049370466
413	0.3048090036
414	0.3046214076
415	0.3044898769
416	0.3043433489
417	0.3041563851
418	0.304067252
419	0.3039667402
420	0.303817749
421	0.3036955261
422	0.3036062404
423	0.303444519
424	0.3032540022
425	0.3031503296
426	0.3030101885
427	0.3029612732
428	0.3028623744
429	0.302772631
430	0.3026626805
431	0.3025621469
432	0.3024168178
433	0.3022275652
434	0.3021632167
435	0.3020894514
436	0.3019166347
437	0.301829289
438	0.3017176601
439	0.3016390991
440	0.3015604946
441	0.3014435686
442	0.3013140869
443	0.301181379
444	0.3010044861
445	0.3009604754
446	0.3008402797
447	0.3007426235
448	0.3006341771
449	0.3004950605
450	0.300423257
451	0.3003499058
452	0.3002139064
453	0.3001143755
454	0.2999217224
455	0.2997532218
456	0.2996668352
457	0.2995824759
458	0.2995101493
459	0.29938797
460	0.2992963082
461	0.2992224339
462	0.2991491481
463	0.2990339879
464	0.2989023263
465	0.2987619019
466	0.2985739136
467	0.298384443
468	0.2981665475
469	0.2980144828
470	0.2979295131
471	0.2978436061
472	0.2977074977
473	0.2975921631
474	0.2974839347
475	0.2974302891
476	0.2973323277
477	0.2971174404
478	0.2970082092
479	0.2969432286
480	0.2966964286
481	0.296572876
482	0.2964042228
483	0.2963036237
484	0.2961579895
485	0.296050633
486	0.2959469604
487	0.2957689994
488	0.2955717468
489	0.2954703631
490	0.2953400966
491	0.2952236067
492	0.2951373291
493	0.295105242
494	0.2949420384
495	0.2947678048
496	0.2946754456
497	0.2945634242
498	0.2944358172
499	0.2942587062
500	0.294115121
501	0.2940111433
502	0.2939425005
503	0.2937784685
504	0.2936873518
505	0.2936207581
506	0.2935559736
507	0.2934979248
508	0.2933855983
509	0.2932084438
510	0.2930379813
511	0.2930056327
512	0.292870309
513	0.2926907349
514	0.2926306588
515	0.2924799456
516	0.2924024745
517	0.2922713143
518	0.292169887
519	0.2920427595
520	0.2918969727
521	0.2918310547
